"Sample","Sequence_Name","CDS_Length","Total_Reads","Mean_Coverage","Median_Coverage","Max_Coverage","Coverage_Percentage_Above_1"
"H_RNAseq","CCL25_ENSSSCG00000013593_ENSSSCT00000047746_342_795_1186",1186,0,0,0,0,0
"W_RNAseq","CCL25_ENSSSCG00000013593_ENSSSCT00000047746_342_795_1186",1186,12,1.30691399662732,0,5,42.6644182124789
"H_Riboseq","CCL25_ENSSSCG00000013593_ENSSSCT00000047746_342_795_1186",1186,4,0.0910623946037099,0,2,8.85328836424958
"W_Riboseq","CCL25_ENSSSCG00000013593_ENSSSCT00000047746_342_795_1186",1186,3,0.0741989881956155,0,2,5.56492411467116
