,logFC,AveExpr,t,P.Value,adj.P.Val,B,tag
ENSSSCT00000009396,-0.288343708,4.379367113,-0.501685939,0.623341827,0.847200134,-6.2799634,ns
ENSSSCT00000029331,0.067490488,4.87680008,0.152001076,0.881259129,0.960262654,-6.280284509,ns
ENSSSCT00000082257,0.190625819,5.16507483,0.313905006,0.758017604,0.912261267,-6.280296335,ns
ENSSSCT00000036911,0.342940647,5.797084523,0.744061955,0.468603623,0.753767548,-6.280491676,ns
ENSSSCT00000045079,0.069685563,4.823439282,0.152162033,0.881134423,0.960205077,-6.280592434,ns
ENSSSCT00000055356,0.145616472,5.085971146,0.260686877,0.797961854,0.929174872,-6.280645851,ns
ENSSSCT00000003546,-0.273392289,4.680733556,-0.382075943,0.707889156,0.889547873,-6.28065783,ns
ENSSSCT00000022750,0.065784071,4.83682794,0.142511118,0.888617345,0.961855782,-6.280663382,ns
ENSSSCT00000075126,-0.101968399,4.809007694,-0.202821005,0.842064265,0.946883792,-6.280717309,ns
ENSSSCT00000012938,0.082731255,4.74582094,0.137020755,0.892879296,0.963199992,-6.280739276,ns
ENSSSCT00000054439,0.059409887,4.829668358,0.139001934,0.891340983,0.962555207,-6.280815679,ns
ENSSSCT00000047188,0.394140124,6.201478511,1.006520119,0.330498015,0.636756903,-6.280822407,ns
ENSSSCT00000033958,0.258979312,6.183132029,0.995516923,0.335641046,0.642086694,-6.280892798,ns
ENSSSCT00000098570,0.306902514,4.333094872,0.504719114,0.62126118,0.846572995,-6.28093897,ns
ENSSSCT00000091165,-0.189187781,4.910843343,-0.24211471,0.812047067,0.935846364,-6.280992722,ns
ENSSSCT00000066033,0.320881434,6.406677682,1.12080853,0.280402755,0.586880345,-6.28106156,ns
ENSSSCT00000016825,-0.138865555,4.886225094,-0.219145916,0.829559599,0.942865557,-6.281136189,ns
ENSSSCT00000106791,0.346201954,5.73326615,0.700017694,0.494880837,0.773422526,-6.281149934,ns
ENSSSCT00000034968,-0.203010092,5.073975604,-0.307597019,0.762717624,0.91470975,-6.281178696,ns
ENSSSCT00000031550,-0.282181407,3.967491063,-0.75956839,0.459558826,0.748042062,-6.281263697,ns
ENSSSCT00000071347,0.230229746,5.430174738,0.493894239,0.628701869,0.850292344,-6.281286966,ns
ENSSSCT00000096906,0.255133625,3.814337034,0.932090038,0.366394248,0.66853237,-6.281352424,ns
ENSSSCT00000084763,0.210617656,5.56181174,0.583810113,0.568226785,0.818015423,-6.28139711,ns
ENSSSCT00000018201,-0.283095421,5.995332405,-0.85906182,0.404141214,0.702669172,-6.281439565,ns
ENSSSCT00000018992,0.134542491,4.607317849,0.223165,0.826488197,0.941643513,-6.281497019,ns
ENSSSCT00000052898,-0.213288615,4.327470177,-0.518111359,0.612114728,0.840592947,-6.281524319,ns
ENSSSCT00000105222,-0.281091121,3.944283286,-0.781013061,0.447229767,0.739526785,-6.281616005,ns
ENSSSCT00000026029,-0.371782328,5.810934892,-0.737696477,0.472347893,0.756465974,-6.281670575,ns
ENSSSCT00000098900,-0.225701493,4.889888907,-0.277114899,0.785562899,0.92470835,-6.281746955,ns
ENSSSCT00000096164,-0.134614039,4.545174531,-0.342652759,0.736725454,0.901895257,-6.281774404,ns
