,logFC,AveExpr,t,P.Value,adj.P.Val,B,tag
ENSSSCT00000054321,-3.223387997,5.644371192,-15.83989872,1.27E-10,1.83E-06,14.60266347,down
ENSSSCT00000105474,-3.660821872,5.822046956,-15.30420742,2.05E-10,1.83E-06,14.20849952,down
ENSSSCT00000063237,-3.651592834,6.184892485,-14.51396717,4.25E-10,2.54E-06,13.34173616,down
ENSSSCT00000057991,-3.104819591,5.544807838,-13.7173328,9.22E-10,2.77E-06,12.75802381,down
ENSSSCT00000000980,-3.117852598,5.539927661,-13.6832371,9.54E-10,2.77E-06,12.72557722,down
ENSSSCT00000000199,-2.829096883,5.267116513,-13.66895755,9.68E-10,2.77E-06,12.70332311,down
ENSSSCT00000000080,-2.800022659,5.242419459,-13.557268,1.08E-09,2.77E-06,12.59382359,down
ENSSSCT00000082451,-3.166447792,5.920035918,-13.09936483,1.73E-09,3.87E-06,12.04799371,down
ENSSSCT00000072139,-3.444425499,6.105143557,-12.64332991,2.79E-09,4.94E-06,11.62516324,down
ENSSSCT00000027083,-3.478835864,6.008154786,-12.59433175,2.94E-09,4.94E-06,11.60953498,down
ENSSSCT00000002127,-3.045312425,5.509448485,-12.48966018,3.29E-09,4.94E-06,11.54672382,down
ENSSSCT00000099885,-2.6661245,5.250266371,-12.48405453,3.31E-09,4.94E-06,11.51963071,down
ENSSSCT00000082165,-2.899455498,5.31639005,-12.06521114,5.24E-09,6.72E-06,11.09664268,down
ENSSSCT00000061956,-3.156863747,5.922431941,-11.99236267,5.68E-09,6.72E-06,10.94724271,down
ENSSSCT00000004744,-2.574529071,5.112331484,-11.93215284,6.07E-09,6.72E-06,10.93508556,down
ENSSSCT00000024140,-3.079802833,5.74742337,-11.91886722,6.16E-09,6.72E-06,10.90628808,down
ENSSSCT00000009811,3.093604586,5.072937036,11.8888637,6.38E-09,6.72E-06,10.89073924,up
ENSSSCT00000045023,-3.36938219,5.701598039,-11.74199684,7.53E-09,7.49E-06,10.75221868,down
ENSSSCT00000073484,2.791658003,4.894834672,11.64750924,8.38E-09,7.90E-06,10.58250846,up
ENSSSCT00000018392,-3.239442704,6.161777347,-11.46125892,1.04E-08,9.30E-06,10.33120509,down
ENSSSCT00000052327,-3.104090511,5.875423498,-11.35517319,1.17E-08,9.64E-06,10.27966715,down
ENSSSCT00000056535,-3.086385423,5.917539937,-11.34295236,1.19E-08,9.64E-06,10.24652076,down
ENSSSCT00000042873,-2.473435034,5.254594252,-11.31057955,1.24E-08,9.64E-06,10.2435728,down
ENSSSCT00000046951,-3.162191417,6.084714891,-11.26667427,1.30E-08,9.72E-06,10.12644505,down
ENSSSCT00000044614,-3.239385146,6.001048068,-11.18950098,1.43E-08,1.02E-05,10.07192449,down
ENSSSCT00000023401,-2.854258759,5.386845179,-11.07057694,1.64E-08,1.13E-05,9.985772134,down
ENSSSCT00000029807,-3.126251017,6.204994696,-10.93638196,1.93E-08,1.28E-05,9.715863227,down
ENSSSCT00000074703,-2.783717684,5.496713848,-10.77878542,2.33E-08,1.39E-05,9.639666124,down
ENSSSCT00000008201,-3.383631886,6.230037481,-10.83300523,2.18E-08,1.39E-05,9.634890105,down
ENSSSCT00000005895,-3.081035015,6.127059891,-10.80284709,2.27E-08,1.39E-05,9.577122156,down
ENSSSCT00000060119,-3.012706442,5.991163859,-10.6960464,2.58E-08,1.49E-05,9.492427575,down
ENSSSCT00000036280,2.880147771,4.97083878,10.60512159,2.89E-08,1.52E-05,9.422383608,up
ENSSSCT00000050371,-3.50121112,6.212386593,-10.61501211,2.85E-08,1.52E-05,9.410159258,down
ENSSSCT00000065717,-3.073698104,5.970803759,-10.59240865,2.93E-08,1.52E-05,9.377564017,down
ENSSSCT00000105497,-3.143049439,6.02167633,-10.58322857,2.97E-08,1.52E-05,9.365908141,down
ENSSSCT00000056102,-2.748321876,5.671235299,-10.48381378,3.35E-08,1.67E-05,9.264500889,down
ENSSSCT00000004015,-2.947955209,5.60569541,-10.46057028,3.45E-08,1.67E-05,9.254465974,down
ENSSSCT00000100854,-2.656380401,5.227939304,-10.40476221,3.70E-08,1.70E-05,9.190676916,down
ENSSSCT00000041229,-3.073384267,5.747173165,-10.38715115,3.78E-08,1.70E-05,9.166449367,down
ENSSSCT00000058660,-2.841626473,5.904311776,-10.38594169,3.79E-08,1.70E-05,9.107355103,down
ENSSSCT00000019464,-3.021124644,6.033688652,-10.3417275,4.01E-08,1.75E-05,9.051118194,down
ENSSSCT00000048630,-3.230205995,6.270372872,-10.16297718,5.02E-08,2.14E-05,8.828007351,down
ENSSSCT00000095433,-3.257574746,6.261411116,-10.03681267,5.90E-08,2.46E-05,8.677406882,down
ENSSSCT00000025350,-3.260931419,6.309239327,-10.01359735,6.08E-08,2.48E-05,8.64672934,down
ENSSSCT00000086290,-3.118028517,6.090406557,-9.859281699,7.43E-08,2.96E-05,8.478729441,down
ENSSSCT00000084729,-2.958314569,5.743086677,-9.815109772,7.87E-08,3.06E-05,8.449538594,down
ENSSSCT00000045895,-2.881459276,5.806404611,-9.770496991,8.34E-08,3.18E-05,8.380624498,down
ENSSSCT00000014040,3.032262842,5.072000529,9.691444443,9.25E-08,3.43E-05,8.29155025,up
ENSSSCT00000085238,-2.66013199,5.201802795,-9.681935942,9.37E-08,3.43E-05,8.278360654,down
ENSSSCT00000010628,-2.648861639,5.675136466,-9.644998082,9.84E-08,3.53E-05,8.221095162,down
ENSSSCT00000082327,-2.990303705,5.86517771,-9.598338548,1.05E-07,3.68E-05,8.167973904,down
ENSSSCT00000003177,-2.947796998,5.883593749,-9.536042594,1.14E-07,3.87E-05,8.083158878,down
ENSSSCT00000089687,-3.098187444,6.132722826,-9.531085685,1.15E-07,3.87E-05,8.061425561,down
ENSSSCT00000003077,-2.864174733,5.487416549,-9.498499843,1.20E-07,3.94E-05,8.035171994,down
ENSSSCT00000043972,-3.018768809,6.135582836,-9.488355305,1.21E-07,3.94E-05,8.000624535,down
ENSSSCT00000011532,-2.895796797,5.941929685,-9.476891739,1.23E-07,3.94E-05,7.995864151,down
ENSSSCT00000005965,-3.203405769,6.068461774,-9.451988859,1.27E-07,4.00E-05,7.970538944,down
ENSSSCT00000079652,-3.355535683,5.857969833,-9.430938112,1.31E-07,4.05E-05,7.951403389,down
ENSSSCT00000053349,-3.332494335,6.04972629,-9.293971059,1.58E-07,4.79E-05,7.768589858,down
ENSSSCT00000057037,-2.901316534,5.627645035,-9.212796439,1.76E-07,5.26E-05,7.660401757,down
ENSSSCT00000045060,-2.897310443,5.992812728,-9.163370464,1.89E-07,5.43E-05,7.581519261,down
ENSSSCT00000052476,-2.998174426,6.10165609,-9.157397898,1.90E-07,5.43E-05,7.568928697,down
ENSSSCT00000046071,-3.096295238,6.097656083,-9.131999065,1.97E-07,5.43E-05,7.544539173,down
ENSSSCT00000042461,-2.842985417,6.247774699,-9.149358343,1.92E-07,5.43E-05,7.535565964,down
ENSSSCT00000085741,-2.866910155,6.284124482,-9.134828135,1.96E-07,5.43E-05,7.516952523,down
ENSSSCT00000031881,-2.939894701,5.756507337,-9.097022377,2.07E-07,5.56E-05,7.505327786,down
ENSSSCT00000039019,-2.651103843,5.817475425,-9.092623581,2.08E-07,5.56E-05,7.491628723,down
ENSSSCT00000003577,-2.784501286,6.129071978,-9.038690704,2.24E-07,5.90E-05,7.398579302,down
ENSSSCT00000026102,-2.79027664,5.956112968,-8.999831416,2.36E-07,6.12E-05,7.36448675,down
ENSSSCT00000069789,-2.756817208,5.745946811,-8.992274436,2.39E-07,6.12E-05,7.362882528,down
ENSSSCT00000004969,-3.126510755,6.105534235,-8.979650878,2.43E-07,6.12E-05,7.340514321,down
ENSSSCT00000085689,-3.180697387,5.80294483,-8.964984689,2.48E-07,6.12E-05,7.322726155,down
ENSSSCT00000051709,-3.267453478,6.290772399,-8.962102371,2.49E-07,6.12E-05,7.308189279,down
ENSSSCT00000000521,-2.839035695,5.975763235,-8.884421982,2.78E-07,6.73E-05,7.209399444,down
ENSSSCT00000004569,-3.011247641,5.929650027,-8.810338288,3.08E-07,7.36E-05,7.114078562,down
ENSSSCT00000043355,-3.110636448,6.163067042,-8.801182272,3.13E-07,7.36E-05,7.094944576,down
ENSSSCT00000053669,-3.318658044,6.251780444,-8.792277288,3.16E-07,7.36E-05,7.08543413,down
ENSSSCT00000011057,-2.326805115,5.016916352,-8.776079499,3.24E-07,7.44E-05,7.063073587,down
ENSSSCT00000098287,-2.966987245,6.271171576,-8.74196215,3.40E-07,7.71E-05,7.0011609,down
ENSSSCT00000074611,-2.797317997,5.676864352,-8.691150557,3.65E-07,8.17E-05,6.947360903,down
ENSSSCT00000029137,-2.923246474,5.917086071,-8.680887467,3.71E-07,8.17E-05,6.934519425,down
ENSSSCT00000070538,-3.15465422,6.017638197,-8.674922545,3.74E-07,8.17E-05,6.925711369,down
ENSSSCT00000008810,-3.088288714,6.346112129,-8.659089186,3.83E-07,8.26E-05,6.888408948,down
ENSSSCT00000061012,-3.014401246,6.252750191,-8.64903203,3.88E-07,8.28E-05,6.877311377,down
ENSSSCT00000042323,-2.630193747,5.141296918,-8.587467414,4.24E-07,8.94E-05,6.786252077,down
ENSSSCT00000093652,-3.107786003,6.225234471,-8.550491437,4.47E-07,9.32E-05,6.746023707,down
ENSSSCT00000055233,-2.757494099,5.819663246,-8.515779223,4.70E-07,9.68E-05,6.702826813,down
ENSSSCT00000060556,-2.95974443,6.211636746,-8.489960265,4.88E-07,9.94E-05,6.657485868,down
ENSSSCT00000101034,-3.05655466,6.072806004,-8.460316448,5.10E-07,0.000101939,6.622286677,down
ENSSSCT00000050613,-2.879181845,6.060614376,-8.457113045,5.12E-07,0.000101939,6.616639484,down
ENSSSCT00000031251,-3.328189953,6.567195249,-8.39554707,5.60E-07,0.000110294,6.520905104,down
ENSSSCT00000023724,-2.480796105,5.835114099,-8.385011249,5.69E-07,0.00011079,6.511292565,down
ENSSSCT00000074991,-3.55042345,6.236061274,-8.345912023,6.02E-07,0.000116065,6.45917566,down
ENSSSCT00000073540,-2.371677021,4.987660194,-8.30919602,6.36E-07,0.000121202,6.396856589,down
ENSSSCT00000009951,-3.000627572,6.350851734,-8.245804503,6.98E-07,0.000131694,6.310107074,down
ENSSSCT00000106133,-3.011212792,6.137512581,-8.195050058,7.53E-07,0.000140515,6.243937139,down
ENSSSCT00000006894,-2.448037629,5.755335478,-8.15028431,8.05E-07,0.000148654,6.17913629,down
ENSSSCT00000064863,-3.187311462,6.103398048,-8.139413087,8.18E-07,0.000149544,6.161768698,down
ENSSSCT00000010862,-3.024211267,6.381786522,-8.130357411,8.29E-07,0.00015005,6.14496851,down
ENSSSCT00000003260,-2.86483005,6.094401642,-8.099751909,8.68E-07,0.000152461,6.103564863,down
ENSSSCT00000058048,-3.03376003,5.841559647,-8.10546485,8.61E-07,0.000152461,6.102356095,down
ENSSSCT00000057571,-2.484295635,5.673093964,-8.091926621,8.78E-07,0.000152762,6.094317277,down
ENSSSCT00000080517,-2.852655283,5.290306096,-8.118894649,8.43E-07,0.000151117,6.086674716,down
ENSSSCT00000058781,-2.760972473,5.624398251,-8.069209247,9.09E-07,0.00015654,6.046472762,down
ENSSSCT00000058881,-2.949613106,6.139924004,-8.00087175,1.01E-06,0.000171858,5.961770231,down
ENSSSCT00000013441,2.244693748,4.626169022,7.978805055,1.04E-06,0.000176011,5.926893368,up
ENSSSCT00000059031,-2.741877957,5.537288573,-7.970148225,1.06E-06,0.000176666,5.889521357,down
ENSSSCT00000040616,-2.713152558,6.008802025,-7.932957232,1.12E-06,0.000185185,5.861808849,down
ENSSSCT00000096273,-2.574929919,5.968132057,-7.915209826,1.15E-06,0.000188503,5.83507343,down
ENSSSCT00000018425,3.06155449,4.974790506,7.789206324,1.39E-06,0.000226471,5.617415113,up
ENSSSCT00000026604,-2.304199252,5.771475758,-7.762059248,1.45E-06,0.000233325,5.608317982,down
ENSSSCT00000063015,2.310529696,4.660486987,7.758119848,1.46E-06,0.000233325,5.602431497,up
ENSSSCT00000004401,-2.67234311,5.865858552,-7.74144677,1.50E-06,0.000237282,5.575032446,down
ENSSSCT00000027128,-2.670520758,5.621622756,-7.70578838,1.58E-06,0.000248522,5.508278901,down
ENSSSCT00000035166,-2.60923493,5.914446984,-7.657593121,1.70E-06,0.000265474,5.451428382,down
ENSSSCT00000068881,-2.759263776,6.542135053,-7.641461803,1.75E-06,0.000269868,5.427335159,down
ENSSSCT00000065887,2.444474704,4.684798569,7.619390439,1.81E-06,0.000274568,5.393300647,up
ENSSSCT00000013528,-2.28939133,4.984743323,-7.625113039,1.79E-06,0.000274457,5.36952546,down
ENSSSCT00000062831,-2.503318372,5.975565944,-7.504099745,2.17E-06,0.000326122,5.2193622,down
ENSSSCT00000042408,-2.867013652,6.2404763,-7.484051081,2.24E-06,0.000331347,5.188857991,down
ENSSSCT00000052651,-2.60717399,5.852989428,-7.483417077,2.24E-06,0.000331347,5.183517038,down
ENSSSCT00000042653,-2.990510392,6.551645212,-7.46320843,2.31E-06,0.000339274,5.157076433,down
ENSSSCT00000049571,-2.256374823,5.661274184,-7.437651929,2.41E-06,0.000350382,5.114541807,down
ENSSSCT00000002179,-2.928230621,6.413301562,-7.389101596,2.60E-06,0.000374739,5.043555054,down
ENSSSCT00000046173,-2.90196209,6.253650073,-7.385079577,2.61E-06,0.000374739,5.036653828,down
ENSSSCT00000022833,-3.029179671,6.464318405,-7.355800659,2.74E-06,0.000389486,4.992212521,down
ENSSSCT00000051643,-2.479181172,5.871320866,-7.23606391,3.32E-06,0.00046803,4.803193947,down
ENSSSCT00000039158,-2.771616354,5.987866384,-7.173418548,3.67E-06,0.000513726,4.697700851,down
ENSSSCT00000008483,-2.744508406,5.866523139,-7.16325874,3.73E-06,0.000518187,4.676612698,down
ENSSSCT00000057513,-2.828839646,6.250076792,-7.146467029,3.83E-06,0.000527092,4.666046386,down
ENSSSCT00000088380,-3.027915024,6.520402058,-7.143232726,3.85E-06,0.000527092,4.661008175,down
ENSSSCT00000091071,-2.973058542,6.261854513,-7.124612164,3.97E-06,0.000539136,4.628312344,down
ENSSSCT00000026968,-2.781480414,6.007234026,-7.001659186,4.85E-06,0.000653909,4.425093446,down
ENSSSCT00000054566,-2.983101139,6.078217646,-6.995536712,4.90E-06,0.000655578,4.409878652,down
ENSSSCT00000046398,-2.610496165,5.716407774,-6.945763209,5.32E-06,0.00070619,4.320003526,down
ENSSSCT00000007766,-2.091242451,5.049331653,-6.936649356,5.40E-06,0.000711602,4.286788462,down
ENSSSCT00000023502,-2.214845522,5.739554486,-6.877232287,5.96E-06,0.000779268,4.234100115,down
ENSSSCT00000008731,-2.532508137,5.875488926,-6.846670111,6.27E-06,0.000813836,4.176093423,down
ENSSSCT00000102144,-1.923085116,4.872767375,-6.764522342,7.19E-06,0.000926468,4.029536942,down
ENSSSCT00000004552,-2.983037252,6.088104426,-6.725493999,7.67E-06,0.000981955,3.96780325,down
ENSSSCT00000062597,-3.020308307,6.238976265,-6.679981438,8.28E-06,0.001052454,3.90887186,down
ENSSSCT00000039499,-2.347552335,5.935732298,-6.668482622,8.44E-06,0.001058021,3.896982132,down
ENSSSCT00000063594,2.75432953,4.819369647,6.675538242,8.35E-06,0.001052887,3.868731074,up
ENSSSCT00000083971,-1.941984501,4.798650799,-6.627226947,9.05E-06,0.001126417,3.799718746,down
ENSSSCT00000033465,-2.56113638,6.045868844,-6.606714288,9.37E-06,0.001158144,3.793970499,down
ENSSSCT00000097993,-2.466183929,5.673033951,-6.6004271,9.47E-06,0.001159834,3.760474203,down
ENSSSCT00000013516,-2.772850294,5.830199729,-6.597764021,9.52E-06,0.001159834,3.743065507,down
ENSSSCT00000056543,-2.750508064,6.401802041,-6.47425525,1.17E-05,0.001421603,3.576304547,down
ENSSSCT00000009874,-2.543276838,6.345826624,-6.390929091,1.35E-05,0.001629231,3.436750932,down
ENSSSCT00000010279,-2.898164741,6.403128212,-6.297639521,1.59E-05,0.001889047,3.277559674,down
ENSSSCT00000023738,-2.812787149,5.875556149,-6.308798851,1.56E-05,0.001865183,3.247449691,down
ENSSSCT00000093227,-2.759533668,5.859414498,-6.186028717,1.93E-05,0.002264759,3.05638864,down
ENSSSCT00000072585,-1.82609382,4.731687548,-6.106576082,2.22E-05,0.002587003,2.927089639,down
ENSSSCT00000018184,-2.081040145,4.879546648,-6.095183435,2.27E-05,0.002622449,2.871426781,down
ENSSSCT00000030213,-2.967572762,6.419404321,-6.05336346,2.44E-05,0.002805394,2.856692988,down
ENSSSCT00000051927,0.972759131,7.175447393,6.240499859,1.76E-05,0.002072716,2.758635741,up
ENSSSCT00000055747,-2.027141592,5.183619141,-5.936153329,3.01E-05,0.003433113,2.607561337,down
ENSSSCT00000000201,-2.39056021,6.560001735,-5.83891309,3.58E-05,0.004060782,2.460156612,down
ENSSSCT00000100455,2.703978561,4.939238858,5.788223847,3.92E-05,0.004421228,2.285301577,up
ENSSSCT00000066099,-2.944278266,6.098860392,-5.715805148,4.47E-05,0.005009166,2.247273345,down
ENSSSCT00000005984,-2.947993674,6.342147174,-5.703839213,4.57E-05,0.005087432,2.238849699,down
ENSSSCT00000054545,2.031452024,4.800933901,5.691947445,4.67E-05,0.005166525,2.233563717,up
ENSSSCT00000059833,-2.795822595,6.078239065,-5.559612237,5.95E-05,0.006500041,1.963278372,down
ENSSSCT00000007383,1.479769146,6.447780746,5.585151369,5.68E-05,0.006240502,1.914798194,up
ENSSSCT00000036292,-1.933494977,5.118542099,-5.545781293,6.10E-05,0.006626958,1.899077978,down
ENSSSCT00000008157,-1.562137801,4.754121177,-5.432391447,7.52E-05,0.008120897,1.750537812,down
ENSSSCT00000047847,-2.445125554,5.949323621,-5.424038368,7.64E-05,0.008149475,1.724735815,down
ENSSSCT00000060992,-2.358170726,5.465795688,-5.42576382,7.62E-05,0.008149475,1.674076432,down
ENSSSCT00000012466,-2.13237862,6.125107512,-5.365675632,8.52E-05,0.009029512,1.641198407,down
ENSSSCT00000105997,2.234972815,4.549389491,5.354672655,8.69E-05,0.009162328,1.621178634,up
ENSSSCT00000016881,-2.138095838,6.248900265,-5.322927993,9.22E-05,0.009552911,1.553814182,down
ENSSSCT00000044629,-2.777359744,5.871877742,-5.349753757,8.77E-05,0.009175917,1.540146007,down
ENSSSCT00000001263,-2.469421777,5.682203073,-5.314601741,9.37E-05,0.009646949,1.496505916,down
ENSSSCT00000106908,-2.621727505,5.744513296,-5.287597519,9.85E-05,0.010031588,1.420287786,down
ENSSSCT00000054783,-2.619977208,5.848082992,-5.241277369,0.000107492,0.010758809,1.3720506,down
ENSSSCT00000060754,-2.290465463,6.09018286,-5.211144456,0.00011376,0.011260334,1.355442987,down
ENSSSCT00000057461,2.422349511,4.786501177,5.250371773,0.000105671,0.010636014,1.353465038,up
ENSSSCT00000102476,-1.87292214,4.76809752,-5.235576333,0.00010865,0.010814276,1.343505962,down
ENSSSCT00000097530,-2.036254624,5.343276727,-5.18636881,0.000119197,0.011733655,1.261473449,down
ENSSSCT00000071615,-2.666237259,6.048985753,-5.170731909,0.000122766,0.011965894,1.25390581,down
ENSSSCT00000034680,2.280479454,4.587104873,5.140275679,0.000130039,0.012525705,1.21591688,up
ENSSSCT00000008994,1.337446893,6.76554039,5.289479497,9.82E-05,0.010031588,1.213414496,up
ENSSSCT00000048896,-2.259609698,5.437971383,-5.170189849,0.000122892,0.011965894,1.212035852,down
ENSSSCT00000031316,1.270691439,6.637727946,5.253786509,0.000104996,0.010627752,1.194823219,up
ENSSSCT00000019470,1.927753572,5.025921794,5.099938018,0.000140365,0.013376504,1.179961538,up
ENSSSCT00000008110,2.299414837,4.650885193,5.130020057,0.000132588,0.012702881,1.177844591,up
ENSSSCT00000010782,-2.166109851,5.434078796,-5.147140992,0.000128362,0.012430949,1.172609032,down
ENSSSCT00000010997,-2.411174835,6.211457305,-5.086968076,0.000143863,0.013637283,1.122500576,down
ENSSSCT00000038945,2.227796329,4.629107314,5.065959062,0.000149721,0.014117899,1.064730616,up
ENSSSCT00000095523,0.742620928,7.257919645,5.347604682,8.81E-05,0.009175917,1.055923369,up
ENSSSCT00000077208,-2.437420208,5.737525596,-5.053251191,0.000153384,0.014312617,1.021861125,down
ENSSSCT00000013535,2.301014026,5.710016451,5.007652681,0.000167307,0.015450918,1.004590414,up
ENSSSCT00000004754,2.524904695,4.778004054,5.054808446,0.00015293,0.014312617,0.98908173,up
ENSSSCT00000062500,2.095947176,4.553329066,4.979140495,0.000176672,0.016067272,0.923586809,up
ENSSSCT00000098855,2.151070589,4.510239713,4.966728742,0.000180916,0.01637016,0.911090925,up
ENSSSCT00000017021,1.65737971,4.319287246,4.947845858,0.000187576,0.016803072,0.907117919,up
ENSSSCT00000068182,1.513883506,5.783783804,4.955998718,0.00018467,0.016625872,0.90159085,up
ENSSSCT00000071277,2.776438319,4.739393643,4.990156533,0.000172991,0.015893892,0.88231682,up
ENSSSCT00000081356,-1.826726824,5.11435953,-4.887823657,0.000210479,0.018760904,0.707581218,down
ENSSSCT00000067185,-2.730357544,6.18573,-4.855935548,0.000223803,0.019655133,0.671108013,down
ENSSSCT00000060933,-2.029178126,4.807241178,-4.881661892,0.000212988,0.018797518,0.666631392,down
ENSSSCT00000038232,1.198146712,6.286146312,4.883000177,0.000212441,0.018797518,0.6234345,up
ENSSSCT00000036364,1.26468261,6.973735273,5.010105875,0.000166526,0.015450918,0.57767324,up
ENSSSCT00000084395,-1.59148027,4.84139158,-4.805988514,0.000246446,0.021433649,0.567626539,down
ENSSSCT00000051779,2.497375029,4.635087894,4.763028978,0.000267809,0.022697916,0.489023397,up
ENSSSCT00000101497,2.890025424,4.99582598,4.840006367,0.000230781,0.020169151,0.48575392,up
ENSSSCT00000018133,1.858947148,4.417100532,4.730059835,0.000285492,0.023679964,0.48417857,up
ENSSSCT00000047245,0.877038113,6.990229212,4.979310907,0.000176614,0.016067272,0.471169845,up
ENSSSCT00000089672,-1.406606903,4.728410309,-4.735747417,0.000282358,0.023580505,0.463826242,down
ENSSSCT00000008310,-1.984932864,4.933911848,-4.786422443,0.000255949,0.022152587,0.455453194,down
ENSSSCT00000061031,1.551936819,4.377329203,4.698925479,0.000303296,0.024699314,0.446392031,up
ENSSSCT00000002772,-2.2077399,4.940028416,-4.783904855,0.000257199,0.022153743,0.43781327,down
ENSSSCT00000072837,1.908243817,4.473993055,4.707381651,0.00029835,0.024407484,0.429379886,up
ENSSSCT00000010887,-2.217960499,4.909203294,-4.77191137,0.00026324,0.022458164,0.412600574,down
ENSSSCT00000034166,2.620083212,4.813775496,4.760400823,0.000269176,0.022697916,0.410960653,up
ENSSSCT00000085277,1.641644315,4.303147289,4.668984295,0.000321497,0.026063078,0.384096507,up
ENSSSCT00000058060,1.556450965,6.423638522,4.759107812,0.000269851,0.022697916,0.37019363,up
ENSSSCT00000027176,1.774454179,4.395882781,4.658097628,0.00032839,0.026383155,0.351308538,up
ENSSSCT00000027772,1.799637525,4.985964749,4.621410391,0.000352762,0.027719636,0.286700668,up
ENSSSCT00000030522,-2.41455987,5.017070436,-4.721076272,0.000290516,0.023969954,0.278729303,down
ENSSSCT00000081051,-2.124140563,4.895179306,-4.662826533,0.000325378,0.026258853,0.224456547,down
ENSSSCT00000059826,2.269304115,5.154476664,4.600569156,0.000367427,0.028131754,0.211736852,up
ENSSSCT00000010034,-2.107740971,4.88768252,-4.648025354,0.000334904,0.02651007,0.193929443,down
ENSSSCT00000085843,-2.059742476,4.943507482,-4.64872923,0.000334444,0.02651007,0.166426221,down
ENSSSCT00000005488,-1.922232252,4.803330986,-4.606299931,0.000363333,0.028131754,0.157124635,down
ENSSSCT00000092653,-2.202457908,5.595065183,-4.59276979,0.000373076,0.028442661,0.151116477,down
ENSSSCT00000040303,1.964714686,4.479778544,4.556614106,0.000400449,0.029769493,0.139940911,up
ENSSSCT00000014565,-1.590975846,4.693041517,-4.572790704,0.000387955,0.029014898,0.12788732,down
ENSSSCT00000086054,-1.89301668,5.266197612,-4.571839097,0.000388679,0.029014898,0.097213341,down
ENSSSCT00000103722,1.752289914,4.382437934,4.519676501,0.000430551,0.031484695,0.089406007,up
ENSSSCT00000086515,-2.149563214,5.283262598,-4.573328605,0.000387547,0.029014898,0.065509172,down
ENSSSCT00000005466,2.016943148,4.869890192,4.504528837,0.000443558,0.032001548,0.053839309,up
ENSSSCT00000067450,-2.41438007,5.061787693,-4.602496995,0.000366045,0.028131754,0.051254993,down
ENSSSCT00000097643,2.828806805,4.996722052,4.611865101,0.000359402,0.027995883,0.041519956,up
ENSSSCT00000106748,2.092599021,4.479681811,4.499361801,0.000448087,0.032001548,0.029978966,up
ENSSSCT00000089850,1.10275032,6.623620539,4.653257262,0.000331504,0.02651007,0.024570034,up
ENSSSCT00000002714,1.670035154,4.349573465,4.479943384,0.000465535,0.032580163,0.018457015,up
ENSSSCT00000056897,-2.127917294,4.873523529,-4.520500235,0.000429855,0.031484695,-0.059667976,down
ENSSSCT00000065215,0.876694889,6.595656288,4.615425452,0.00035691,0.027923181,-0.060363486,up
ENSSSCT00000000273,-2.025310771,5.244209691,-4.5072753,0.00044117,0.032000026,-0.073821709,down
ENSSSCT00000098610,-2.510953056,5.118947368,-4.544694969,0.000409919,0.030347539,-0.080386057,down
ENSSSCT00000050117,-1.573807421,4.615512296,-4.456979312,0.000487071,0.033562967,-0.083833637,down
ENSSSCT00000016787,-1.953001515,4.828061341,-4.485231876,0.000460715,0.032525868,-0.084809967,down
ENSSSCT00000009251,-2.071967126,4.833730386,-4.484714113,0.000461185,0.032525868,-0.100798758,down
ENSSSCT00000013812,-1.564394304,5.679521261,-4.427047233,0.000516686,0.034931032,-0.103598094,down
ENSSSCT00000048020,1.915371984,4.487267694,4.430337185,0.000513343,0.034931032,-0.104965018,up
ENSSSCT00000070171,0.701320381,7.133410641,4.719045648,0.000291664,0.023969954,-0.113176325,up
ENSSSCT00000004845,1.18657224,6.337351951,4.508400049,0.000440196,0.032000026,-0.131618206,up
ENSSSCT00000004148,-1.545202029,5.05261569,-4.42758925,0.000516134,0.034931032,-0.135917849,down
ENSSSCT00000106995,0.688126453,7.255741379,4.734618942,0.000282977,0.023580505,-0.13829905,up
ENSSSCT00000017889,-1.834487989,4.7141759,-4.436357132,0.000507282,0.034821719,-0.154514322,down
ENSSSCT00000095340,0.656653477,7.469310537,4.77771003,0.000260301,0.022313687,-0.15658264,up
ENSSSCT00000100598,0.828797952,6.944627733,4.646519367,0.000335889,0.02651007,-0.163569342,up
ENSSSCT00000054961,-1.975211369,5.320484105,-4.419469557,0.000524472,0.034931032,-0.199776634,down
ENSSSCT00000042853,-2.617597634,5.12527788,-4.482779617,0.000462944,0.032525868,-0.221219656,down
ENSSSCT00000050737,0.967463089,6.910275523,4.60422725,0.000364809,0.028131754,-0.222463341,up
ENSSSCT00000010230,1.28479612,6.388970523,4.464287263,0.000480109,0.03321094,-0.227384855,up
ENSSSCT00000070639,1.232098085,6.253037972,4.423385093,0.000520434,0.034931032,-0.249807696,up
ENSSSCT00000078446,-2.183259946,5.284195625,-4.420113637,0.000523806,0.034931032,-0.257472629,down
ENSSSCT00000016735,0.962172705,6.489373515,4.477759968,0.00046754,0.032593164,-0.274372429,up
ENSSSCT00000081437,-1.663829317,5.057649571,-4.365251054,0.000583808,0.038034567,-0.277468119,down
ENSSSCT00000044721,-1.682072327,4.627593925,-4.338152415,0.000615999,0.039415151,-0.318904117,down
ENSSSCT00000051603,-2.168711588,5.004973379,-4.376324082,0.000571155,0.037390155,-0.35176285,down
ENSSSCT00000037557,1.885411324,4.465334241,4.289905875,0.000677882,0.04183719,-0.371072839,up
ENSSSCT00000027749,-1.883867032,4.795126723,-4.328366143,0.000628066,0.03990226,-0.387029786,down
