,H2,H3,H6,H7,H8,W1,W10,W6,W7,W9
ENSSSCT00000011534,0.432364954,1.106158279,0,0.239341947,0.664837353,0.077327034,0,0,0,0
ENSSSCT00000078746,1.652833033,0.310232535,1.690271698,0.763183692,5.858210765,2.454237204,0.072173841,0.183185014,1.854662745,0.856636891
ENSSSCT00000042585,1.850489789,0.952374432,2.510546759,1.365418647,3.509246641,4.807349085,0.526483339,0.228741472,0.52341887,3.660681335
ENSSSCT00000041197,0,0.3458951,0,0,0.852777239,0.236662551,0,0.058820706,0.187481035,0.038844266
ENSSSCT00000014612,0,0.223933928,0,0,6.092035579,0,0,0,0,0.035366388
ENSSSCT00000000614,0,1.259059477,0.09140517,0,0.189695057,0,0,0,0,0
ENSSSCT00000095204,4.486523472,4.055373838,1.205546681,5.293444349,0.663567941,1.899136089,1.985190487,2.828422284,6.575216464,1.699687024
ENSSSCT00000000845,0,0,0.691013501,0,0,0,0,0,0,0
ENSSSCT00000032329,4.5575591,5.510125154,3.595784917,2.275623545,8.194277519,2.731213568,2.706874951,0.44410802,5.18078052,6.910407739
ENSSSCT00000037529,5.782551185,5.129657858,13.64108087,2.437229129,28.12116119,3.117067672,11.72087798,11.21667465,10.33523107,2.887871084
ENSSSCT00000076692,7.947178932,4.108181497,36.83631237,6.321491393,8.47607308,2.670108134,5.728973843,3.568678608,4.760479346,7.418073382
ENSSSCT00000094263,63.86217808,15.69044013,71.88791387,38.70237075,84.47518408,31.81412888,47.88762739,10.16285686,5.079934592,5.866162999
ENSSSCT00000039929,5.961608665,7.667169401,15.17378379,1.840377648,7.438072939,8.245113972,5.695094875,7.520083198,9.074325423,10.27483614
ENSSSCT00000027528,17.72317447,4.721188105,34.07230311,14.22827141,3.40819307,4.461001005,4.823956094,10.38315752,11.59870425,17.14153414
ENSSSCT00000055448,14.95673729,0.86053438,2.407137179,4.770169947,7.285038356,3.7335863,0.381132291,0.451649721,5.990013221,17.70031613
ENSSSCT00000036626,0.575653473,2.344260971,5.999355559,3.506894131,3.546840906,1.080892192,0.865779371,0.712620009,1.360531896,0.563780944
ENSSSCT00000016479,0,0,0,2.909921946,0.080230823,0,0,0.11766291,0.278297613,0.491787149
ENSSSCT00000061014,0,0,0,0.353996608,0,0,0,0,0,0
ENSSSCT00000009255,0,0,0,0,0,0.222497937,0,0,0,0
ENSSSCT00000051340,6.18970078,5.828811226,10.7807776,0,9.968699056,4.768151974,3.601442746,2.445350192,6.711919973,11.04065296
ENSSSCT00000080982,3.448404754,23.95359324,35.6001945,0,29.12271205,1.846927499,1.844446402,3.167579709,2.762261206,3.36431012
ENSSSCT00000023698,0,0,0,3.241163317,0.860009844,0,0,0,0,0
ENSSSCT00000030598,23.4191125,31.55308741,11.83724967,1.839721967,5.122252259,18.38998525,2.561286055,16.59601875,5.316337314,17.14706801
ENSSSCT00000060481,2.255614973,11.66779607,4.478862665,1.070897414,4.874458257,7.171588341,1.77552582,1.318530385,4.415162333,10.71360212
ENSSSCT00000044844,2.043037535,0.72404609,0.953997775,2.264914168,1.641244186,7.644259697,2.582721079,1.226877732,9.722703028,4.644259654
