"Sample","Sequence_Name","CDS_Length","Total_Reads","Mean_Coverage","Median_Coverage","Max_Coverage","Coverage_Percentage_Above_1"
"H_RNAseq","TNFSF13_ENSSSCG00000036521_ENSSSCT00000048271_594_1347_2112",2112,2,0.0241477272727273,0,1,2.41477272727273
"W_RNAseq","TNFSF13_ENSSSCG00000036521_ENSSSCT00000048271_594_1347_2112",2112,9,0.566287878787879,0,4,24.1950757575758
"H_Riboseq","TNFSF13_ENSSSCG00000036521_ENSSSCT00000048271_594_1347_2112",2112,3,0.0336174242424242,0,1,3.36174242424242
"W_Riboseq","TNFSF13_ENSSSCG00000036521_ENSSSCT00000048271_594_1347_2112",2112,7,0.0918560606060606,0,4,4.02462121212121
