"Sample","Sequence_Name","CDS_Length","Total_Reads","Mean_Coverage","Median_Coverage","Max_Coverage","Coverage_Percentage_Above_1"
"H_RNAseq","CD93_ENSSSCG00000007116_ENSSSCT00000007788_100_2038_5467",5467,29,0.132979696359978,0,5,9.03603438814706
"W_RNAseq","CD93_ENSSSCG00000007116_ENSSSCT00000007788_100_2038_5467",5467,57,1.41192610206695,0,17,26.3581488933602
"H_Riboseq","CD93_ENSSSCG00000007116_ENSSSCT00000007788_100_2038_5467",5467,19,0.0808487287360527,0,6,4.79239070788367
"W_Riboseq","CD93_ENSSSCG00000007116_ENSSSCT00000007788_100_2038_5467",5467,14,0.0656667276385586,0,2,6.12767514175965
