"Sample","Sequence_Name","CDS_Length","Total_Reads","Mean_Coverage","Median_Coverage","Max_Coverage","Coverage_Percentage_Above_1"
"H_RNAseq","CD93_ENSSSCG00000007116_ENSSSCT00000007788_100_2038_5467",5467,36,0.168282421803549,0,3,13.1699286628864
"W_RNAseq","CD93_ENSSSCG00000007116_ENSSSCT00000007788_100_2038_5467",5467,94,2.29979879275654,0,20,42.1437717212365
"H_Riboseq","CD93_ENSSSCG00000007116_ENSSSCT00000007788_100_2038_5467",5467,43,0.215108834827145,0,9,11.2676056338028
"W_Riboseq","CD93_ENSSSCG00000007116_ENSSSCT00000007788_100_2038_5467",5467,35,0.167733674775928,0,7,9.14578379367112
