gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RAD54L_ENSSSCG00000003905_ENSSSCT00000059309_582_2823_6069,9.69024848877107,0.0443362465133205,0.994400246090674,0.0445859166745195,0.964437368362407,NA
TLR6_ENSSSCG00000026592_ENSSSCT00000023300_127_2515_4881,11.2484220636328,1.25829657333476,0.911356834128853,1.38068484946134,0.167375881654991,0.481899950500477
YAE1_ENSSSCG00000030497_ENSSSCT00000042615_55_730_733,8.62863586647284,-0.799428600959608,1.10588319874439,-0.722887011817589,0.469749303731344,NA
JAK1_ENSSSCG00000003809_ENSSSCT00000045514_331_3793_5100,302.289589076866,-0.47934940475823,0.398313444793759,-1.20344771441604,0.228803113035367,0.551651802602483
PCDHGA6_ENSSSCG00000046808_ENSSSCT00000015719_0_2400_2403,15.447068497256,1.75862559685201,0.84073450440385,2.091772833921,0.0364588415922506,0.227154604689982
TMX1_ENSSSCG00000038422_ENSSSCT00000053258_74_911_914,36.8511014291805,0.615526004844534,0.587631317907575,1.04746970776896,0.294882996248888,0.609368950300315
DNAH11_ENSSSCG00000015379_ENSSSCT00000091526_199_13774_14778,5.46098164167505,-3.06486342753916,1.77002467698362,-1.73153711775484,0.0833560106376645,NA
POLN_ENSSSCG00000027718_ENSSSCT00000062038_12_2712_2769,6.14423390796625,1.38255409767497,1.19788163904102,1.15416586465236,0.248432174410982,NA
UIMC1_ENSSSCG00000022508_ENSSSCT00000029659_10_2173_3177,53.2507804240284,-0.348116980828513,0.549166858026432,-0.633900199439489,0.52614595542244,0.779330634201335
HIRIP3_ENSSSCG00000030122_ENSSSCT00000025446_613_2215_2432,20.3546465484796,-1.06070462018245,1.96055982706986,-0.541021296844441,0.588492903661726,0.819762747815614
TAF1D_ENSSSCG00000038682_ENSSSCT00000016303_258_1077_1100,46.7051934394726,-0.470414503230212,0.571870604928203,-0.822589059791369,0.41074172210494,0.707251959480879
PRCP_ENSSSCG00000014899_ENSSSCT00000016254_5_1538_1739,25.2222133074651,0.23939562128983,0.814252760723072,0.29400652087104,0.768752920543415,0.907915629239917
SDF2_ENSSSCG00000017772_ENSSSCT00000019344_298_931_1775,38.9176694316385,0.951200808271079,0.620186878754704,1.53373255845243,0.12509546047833,0.418663969233525
TMEM147_ENSSSCG00000040012_ENSSSCT00000047038_113_785_863,5.12692020530734,-0.100926332808589,1.34459105869608,-0.0750609876183938,0.940166187593108,NA
P2RX6_ENSSSCG00000010101_ENSSSCT00000011062_228_1410_2819,1.05675340539332,-2.23802660254485,2.85712811936351,-0.783313351395465,0.43344312475624,NA
ENSSSCT00000094519_ENSSSCG00000024974_ENSSSCT00000094519_80_575_856,78.3952287978674,0.167145986304985,0.500459914587945,0.333984763680034,0.738391056003026,0.893359437712609
NDST2_ENSSSCG00000010310_ENSSSCT00000052718_661_3106_3773,25.2154733035499,1.48170221331121,0.671208859869837,2.20751289486636,0.0272782471263063,0.196979441671079
PDCD6_ENSSSCG00000032090_ENSSSCT00000042729_199_1075_1543,16.9770198125436,0.51577021633959,0.77675565451072,0.664005744077234,0.506686634708092,0.767223080895581
USP28_ENSSSCG00000015052_ENSSSCT00000060517_89_3524_4593,15.6687194794018,-1.44862734315014,0.892549049384365,-1.62302267214259,0.104584558339004,0.382118188324721
UBE2E1_ENSSSCG00000026488_ENSSSCT00000026012_213_792_1477,2.99025818933497,-0.855530278977271,1.8176575910004,-0.470677361464106,0.637871153289069,NA
ZNF248_ENSSSCG00000037204_ENSSSCT00000064753_225_1965_6776,2.06015434767306,-1.41119781296703,2.20748879364915,-0.639277452744942,0.52264245366716,NA
SCAMP4_ENSSSCG00000013446_ENSSSCT00000014690_108_798_2524,12.1646320810667,1.12540566206898,0.90437677588986,1.24439911779207,0.21335270744935,0.536891466841156
JCAD_ENSSSCG00000011020_ENSSSCT00000012062_6_4140_6568,4.71011138603173,0.538572711999216,1.35775248735047,0.396664868609588,0.69161461008236,NA
SERPINB10_ENSSSCG00000004889_ENSSSCT00000005395_92_1283_1944,52.4212629007031,-0.461472218815079,0.565496067180784,-0.816048502539894,0.414472395668267,0.710506645832981
