Transcript,external_gene_name,TE_H6,TE_H7,TE_W10,TE_W6
ENSSSCT00000053533,EML2,10.9791063,4.10753414,1.987652264,10.95568682
ENSSSCT00000014277,EML3,2.301814215,1.643103307,0.201026705,0.427073748
ENSSSCT00000043652,EML4,1.271741024,14.49034088,0.820849671,16.69270771
ENSSSCT00000032131,EML6,2.394817792,2.39133325,NA,NA
ENSSSCT00000059795,EMP1,0.122564209,1.167379879,196.2436721,69.34498299
ENSSSCT00000064420,EMP2,NA,NA,49.06268916,NA
ENSSSCT00000024369,EMP3,0.96574794,0.692714217,12.83206346,2.51491453
ENSSSCT00000081702,EMSY,4.784750402,19.17828022,5.035260672,16.5276249
ENSSSCT00000049708,EMX2,NA,NA,NA,NA
ENSSSCT00000040992,ENAH,3.970370133,3.183133699,9.292237328,31.60252467
ENSSSCT00000087970,ENAM,NA,NA,0,NA
ENSSSCT00000015372,ENC1,9.93747278,6.460502945,132.6579838,35.46129718
ENSSSCT00000016326,ENDOD1,1.321040365,7.662622244,1.546336462,0
ENSSSCT00000006224,ENDOG,NA,NA,0,0
ENSSSCT00000065966,ENGASE,4.074008768,1.600618438,37.00311416,12.67407428
ENSSSCT00000035446,ENG,3.884959104,35.5405094,15.77992365,3.157351773
ENSSSCT00000027631,ENKD1,0.015887204,NA,0,0
ENSSSCT00000045451,ENKUR,8.570608371,1.799873186,3.38357155,NA
ENSSSCT00000055817,ENO1,6.186052614,2.817002012,4.244328685,6.396333842
ENSSSCT00000025086,ENO2,NA,NA,0,NA
ENSSSCT00000083579,ENO3,4.396042907,NA,0,0
ENSSSCT00000010126,ENOPH1,4.152045877,9.271774842,3.724287935,1.017396269
ENSSSCT00000026139,ENOSF1,1.610328401,6.904707826,17.22290746,247.3008873
ENSSSCT00000045599,ENOX1,NA,NA,NA,NA
ENSSSCT00000062416,ENOX2,12.5978191,7.273664086,21.62230158,17.29137761
ENSSSCT00000072573,ENPEP,NA,3.468229689,152.7857898,NA
ENSSSCT00000065954,ENPP1,2.931191703,1.885015556,1.987185011,2.232651727
ENSSSCT00000057713,ENPP2,0.967768051,0.035559894,168.9011234,0
ENSSSCT00000033751,ENPP3,NA,0.684931785,0,NA
ENSSSCT00000049493,ENPP4,5.655163079,3.611752919,15.80026362,22.42709574
ENSSSCT00000017182,ENPP6,NA,0,NA,11.98270958
ENSSSCT00000085614,ENSA,0.727295787,0.431059874,1.201057197,1.080801345
ENSSSCT00000000110,,0.730559281,3.450872477,3.486587704,5.909640187
ENSSSCT00000000220,,NA,NA,0,0
ENSSSCT00000000257,,NA,NA,NA,NA
ENSSSCT00000000453,,NA,NA,NA,NA
ENSSSCT00000000620,,2.586798519,1.292514662,1.136033633,10.68303641
ENSSSCT00000000682,,0.520312605,2.308323702,6.962667589,18.2196985
ENSSSCT00000000686,,NA,2.973257371,0,NA
ENSSSCT00000000687,,NA,NA,0,0
ENSSSCT00000000689,,2.494350434,17.94977792,17.74606571,21.04592068
ENSSSCT00000001050,,0,1.044801632,NA,NA
ENSSSCT00000001114,,4.927757498,0.908091436,4.864424307,0.453011677
ENSSSCT00000001201,,0.585265475,1.968370853,NA,NA
ENSSSCT00000001263,,0.754712747,2.708221195,NA,NA
ENSSSCT00000001267,,1.494938094,17.07591601,4.130141468,46.14978714
ENSSSCT00000001327,,6.460432911,10.60373099,25.17123614,16.96123557
ENSSSCT00000001329,,2.146281009,0.869431789,30.76498505,15.43075792
ENSSSCT00000001339,,1.633181938,2.201533944,0,0
ENSSSCT00000001520,,1.370631051,0.16763493,0,0
ENSSSCT00000001522,,1.7603235,3.945094416,2.548682883,4.201737257
ENSSSCT00000001538,,2.611558808,0.104076368,0,0
ENSSSCT00000001610,,2.160368527,9.071726795,91.34685115,12.36735065
ENSSSCT00000001690,,3.192214367,14.74813209,69.62667572,0.687875858
ENSSSCT00000001703,,1.07239193,1.092636133,1.178606853,0.103188417
ENSSSCT00000001799,,0.656871303,NA,NA,16.78701166
ENSSSCT00000002166,,3.201497354,0.366092532,3.696204437,4.799556498
ENSSSCT00000002203,,5.961343002,1.955317618,0.989466858,10.26455525
ENSSSCT00000002214,,0.008482643,NA,12.4124451,8.068508758
ENSSSCT00000002278,,0.550539716,3.677131386,8.781183713,0
ENSSSCT00000002336,,0,NA,0,0
ENSSSCT00000002346,,NA,NA,13.93387757,NA
ENSSSCT00000002349,,0.878649654,0.58723606,6.598486682,13.48144827
ENSSSCT00000002507,,NA,NA,NA,NA
ENSSSCT00000002516,,1.366925248,3.221700637,2.367810659,7.803588934
ENSSSCT00000002646,,15.0826298,5.159521234,0,NA
ENSSSCT00000002668,,0,NA,0,NA
ENSSSCT00000002812,,0.877611445,0.277576266,19.7942245,6.843757766
ENSSSCT00000002944,,NA,NA,NA,3.85843582
ENSSSCT00000003003,,NA,NA,0,0
ENSSSCT00000003024,VAC14,1.131774896,0.22340157,1.000317368,1.647841612
ENSSSCT00000003090,,0.267275501,0.594765751,10.81898782,14.53583204
ENSSSCT00000003111,,2.415506836,NA,0,NA
ENSSSCT00000003125,,NA,NA,NA,0
ENSSSCT00000003151,,0.126670109,1.806094073,0,5.858214683
ENSSSCT00000003156,,1.390274594,0.670737369,0,0
ENSSSCT00000003195,,0.405952932,0.307385925,NA,3.277776199
ENSSSCT00000003223,,0,0.055670322,0,13.71056104
ENSSSCT00000003256,,NA,NA,0,NA
ENSSSCT00000003260,,0.005944408,0.01408229,13.9109216,NA
ENSSSCT00000003266,,0.201088396,NA,NA,NA
ENSSSCT00000003379,RPS19,0.131599946,0.369119764,0.27710905,0.051326493
ENSSSCT00000003515,RPS11,0.309797503,0.70788198,1.581921719,0.417913446
ENSSSCT00000003584,,NA,NA,NA,49.69373996
ENSSSCT00000003612,,1.257791747,1.17557508,0.377961168,5.048885925
ENSSSCT00000003641,,3.65499917,0.639996988,11.37142113,7.723421042
ENSSSCT00000003688,,0,6.592273936,10.38242662,0
ENSSSCT00000003717,,1.417559238,2.327728515,18.90622854,1.021852554
ENSSSCT00000003862,,NA,NA,NA,NA
ENSSSCT00000004054,,0.919806434,0.546579859,4.834896456,3.520411859
ENSSSCT00000004062,,0,NA,NA,NA
ENSSSCT00000004090,MYL12A,0.053522367,2.028806717,0.972337265,0.866144749
ENSSSCT00000004148,,7.084429163,7.361050086,NA,NA
ENSSSCT00000004156,,0,0,1.953202677,NA
ENSSSCT00000004259,,NA,NA,NA,NA
ENSSSCT00000004261,MAGOH,10.81026139,1.104165155,5.011995621,15.66875056
ENSSSCT00000004318,,0.696320537,0.485941012,0.204313939,0.176609824
ENSSSCT00000004346,RPS8,0.054735568,0.130234282,0.280844308,0.540208312
ENSSSCT00000004377,,NA,NA,NA,NA
ENSSSCT00000004406,,0.088098372,1.815998743,0,0
ENSSSCT00000004482,,1.188840655,NA,NA,NA
ENSSSCT00000004588,,NA,0.22077329,NA,NA
ENSSSCT00000004609,,14.30585081,0.97839548,0,9.703002546
ENSSSCT00000004618,,0.295169757,7.931010002,338.7957544,21.82861191
ENSSSCT00000004619,,0.122006813,NA,3.450198749,15.6227664
ENSSSCT00000004855,,2.578681963,2.076257366,0.658596427,7.160613416
ENSSSCT00000004911,,0.671428865,0.317298146,0.354557296,1.249420955
ENSSSCT00000005051,,0.756761455,2.60012822,NA,11.54622893
ENSSSCT00000005062,GTF2A2,0.399320919,1.617318647,0,0
ENSSSCT00000005141,EID1,4.089132995,0.292130827,0,4.527407961
ENSSSCT00000005176,,0.52372535,8.195222092,15.60965747,0.845736904
ENSSSCT00000005194,,13.06661576,0.613196017,NA,NA
ENSSSCT00000005305,,0.556540314,1.78191079,0.157058441,0.429615422
ENSSSCT00000005338,,NA,NA,NA,NA
ENSSSCT00000005418,,NA,NA,NA,NA
ENSSSCT00000005698,RPS6,0.173129314,1.125469297,0.148732495,1.405850487
ENSSSCT00000005704,RRAGA,0.510835002,2.119042276,2.287070529,8.942190123
ENSSSCT00000005741,,NA,NA,NA,NA
ENSSSCT00000005775,,0.317821451,3.485627147,0.792912363,NA
ENSSSCT00000005956,,NA,0,NA,NA
ENSSSCT00000005976,,6.086978905,4.840147179,NA,0
ENSSSCT00000005984,,0.09450071,0.002305509,11.031956,56.9309546
ENSSSCT00000006026,,0.658937866,0.445581777,1.754548401,5.020885143
ENSSSCT00000006183,,0,3.825543879,0.432352602,0
ENSSSCT00000006219,,0.227166426,0.361486754,5.766065489,0.220400566
ENSSSCT00000006459,,5.236387034,6.907672611,1.912381383,1.805396919
ENSSSCT00000006488,,0.260778018,0.246084197,41.75832544,0.842074655
ENSSSCT00000006554,,3.388117522,4.706808882,0,2.045096912
ENSSSCT00000006565,,0.162208622,NA,0,0
ENSSSCT00000006861,,0,1.244414739,NA,NA
ENSSSCT00000006932,,4.155466421,0.829344291,2.154594293,0.239783326
ENSSSCT00000006959,,1.506711581,0.848303604,8.369252273,1.459175235
ENSSSCT00000006987,,8.773651481,15.250762,3.447430094,NA
ENSSSCT00000007008,TAGLN2,29.73140848,6.011398806,33.2684607,6.106890281
ENSSSCT00000007071,,NA,NA,3.172471591,0
ENSSSCT00000007221,,NA,NA,NA,NA
ENSSSCT00000007310,H2AC18,0,NA,NA,NA
ENSSSCT00000007320,,3.719436524,2.6801829,0.622147824,0.720222534
ENSSSCT00000007493,,0,0.448230887,NA,NA
ENSSSCT00000007590,,0.458701387,0.339681253,0,0.431919988
ENSSSCT00000007593,,NA,NA,NA,5.307962087
ENSSSCT00000007594,,NA,NA,NA,3.823462974
ENSSSCT00000007673,,1.094227593,3.072265059,23.34983319,11.18151609
ENSSSCT00000007736,,NA,NA,NA,NA
ENSSSCT00000007760,,2.692090531,2.70312629,0,1.865185721
ENSSSCT00000007807,,1.678724936,2.272189095,70.74970278,2.05057478
ENSSSCT00000007856,,0.621803705,1.032407549,295.3086038,7.979550584
ENSSSCT00000008065,,0.047300768,NA,NA,NA
ENSSSCT00000008210,,NA,NA,NA,NA
ENSSSCT00000008228,,6.415749581,3.402177182,4.617080169,4.572322585
ENSSSCT00000008284,,0,0.527085369,41.71697744,38.68317921
ENSSSCT00000008383,,4.425263507,0.158789873,22.54180052,0
ENSSSCT00000008405,,0,NA,0,0
ENSSSCT00000008438,,0,0.011106376,0,0
ENSSSCT00000008482,,5.018059226,0.076713256,5.123874605,19.21049235
ENSSSCT00000008496,,0.778573854,NA,0.478708231,0
ENSSSCT00000008575,,0.756826695,0.84772785,0,2.805943471
ENSSSCT00000008655,,3.171069223,1.81601038,NA,NA
ENSSSCT00000008679,,5.903174781,3.666637294,1.870256826,1.981256682
ENSSSCT00000008680,,0.009334368,NA,0,0
ENSSSCT00000008702,,3.173821508,3.015853752,6.583892625,7.14282856
ENSSSCT00000008710,,1.873391376,1.918831044,2.877800304,0
ENSSSCT00000008769,,0.007341249,NA,0,0
ENSSSCT00000008801,,0.998659986,1.20343283,0.50355247,15.99067101
ENSSSCT00000008804,GFER,1.72568319,1.214967374,3.014538476,8.743980312
ENSSSCT00000008870,,2.415391471,6.939102578,0,3.079798866
ENSSSCT00000008897,,NA,NA,NA,NA
ENSSSCT00000008972,,0.465213367,0.660549124,1.069838876,2.124568898
ENSSSCT00000009040,,0,NA,NA,NA
ENSSSCT00000009065,,1.849870975,5.791655539,0,18.43176941
ENSSSCT00000009127,,4.614867159,2.160174582,1.038863788,9.199967879
ENSSSCT00000009261,,5.09017726,6.585350551,0.092048529,1.305764149
ENSSSCT00000009335,,0.0911508,NA,NA,58.51274528
ENSSSCT00000009349,,0.254980085,2.254672211,NA,NA
ENSSSCT00000009357,,NA,NA,NA,NA
ENSSSCT00000009360,,NA,NA,NA,19.69088528
ENSSSCT00000009384,,1.575368225,5.208316875,1.738332611,2.096293695
ENSSSCT00000009410,,NA,NA,NA,NA
ENSSSCT00000009592,,NA,NA,NA,NA
ENSSSCT00000009874,,0.020588106,0.200716127,8.758162998,16.21833884
ENSSSCT00000010001,,NA,NA,NA,14.34024686
ENSSSCT00000010015,RPL34,0.759299364,0.987357236,0.126177624,0.199118504
ENSSSCT00000010119,,NA,0.270171089,15.58572776,3.002350306
ENSSSCT00000010170,,NA,NA,NA,NA
ENSSSCT00000010244,,0.111071199,0,NA,NA
ENSSSCT00000010368,,NA,NA,NA,NA
ENSSSCT00000010414,,NA,0.244862525,0,NA
ENSSSCT00000010441,,1.731848792,NA,0,0
ENSSSCT00000010576,,0,0.513934905,NA,NA
ENSSSCT00000010744,,0,0.594343865,NA,NA
ENSSSCT00000010782,,5.133215553,2.105003823,796.8411773,NA
ENSSSCT00000010794,,5.305570765,19.87335715,NA,NA
ENSSSCT00000010797,,1.20559733,1.638839158,0.818606324,0.747737416
ENSSSCT00000010814,,NA,NA,NA,NA
ENSSSCT00000010861,,50.14979348,2.9465855,0,NA
ENSSSCT00000010877,,4.22643448,2.425065478,5.401316049,11.1716284
ENSSSCT00000011038,,0.459393284,0.073064048,0.360611292,1.409889102
ENSSSCT00000011047,,0.729851076,0,NA,0
ENSSSCT00000011050,,0.394569755,0,NA,NA
ENSSSCT00000011126,,NA,3.359943608,0,0
ENSSSCT00000011201,,NA,NA,NA,NA
ENSSSCT00000011252,,1.063436089,1.250035226,41.1606156,5.6270205
ENSSSCT00000011279,SEC24C,3.126204207,1.377274179,0.59291351,1.321523681
ENSSSCT00000011297,,1.35866773,6.400348945,0.157891203,2.831496268
ENSSSCT00000011375,,9.314380128,36.98803191,2.712807693,287.8451732
ENSSSCT00000011410,,NA,NA,NA,NA
ENSSSCT00000011425,,0.784440044,10.02763961,0.217904655,9.966138011
ENSSSCT00000011477,,0.123633991,NA,0,NA
ENSSSCT00000011521,,1.960249612,1.095516382,26.53150858,6.256871406
ENSSSCT00000011551,,NA,NA,0,NA
ENSSSCT00000011670,,3.928260726,4.565991745,0.59733924,1.505025573
ENSSSCT00000011728,,0,0.883564941,0,0
ENSSSCT00000011751,,1.033225986,2.459660801,0,2.147248435
ENSSSCT00000011784,,NA,0,NA,NA
ENSSSCT00000011785,,NA,NA,NA,NA
ENSSSCT00000011908,,0.655985827,NA,NA,NA
ENSSSCT00000011987,,0.48848862,6.798929187,0.278295565,1.47312469
ENSSSCT00000012196,,0.649837316,12.25511819,0,2.57680144
ENSSSCT00000012390,,2.162064785,0.913314207,4.241399915,6.354816399
ENSSSCT00000012399,,NA,0.017769727,0,NA
ENSSSCT00000012411,,0,0,34.34062379,NA
ENSSSCT00000012432,,4.202048055,4.687610127,4.830655894,0.758110367
ENSSSCT00000012621,,1.519352781,0.108839559,0,3.539422762
ENSSSCT00000012659,,0.303713685,0.581026634,116.398358,93.88463724
ENSSSCT00000012796,,3.370039799,NA,NA,NA
ENSSSCT00000012828,,NA,NA,NA,NA
ENSSSCT00000012834,,NA,NA,NA,NA
ENSSSCT00000012896,,0,NA,NA,NA
ENSSSCT00000012915,,10.10190169,0.28333901,0.189754719,2.908399605
ENSSSCT00000012963,,NA,0.005182849,NA,NA
ENSSSCT00000013094,,0.132504127,NA,NA,NA
ENSSSCT00000013206,,1.186084109,NA,NA,NA
ENSSSCT00000013222,,2.765682566,0.746382809,1.50492849,0.319639594
ENSSSCT00000013235,,0.260323813,0.966695724,19.87529121,91.83252753
ENSSSCT00000013264,,1.375371159,0.30751947,1.351227096,50.88042016
ENSSSCT00000013284,,NA,NA,NA,NA
ENSSSCT00000013322,,0.342432768,2.236389818,1.105930188,0.193737148
ENSSSCT00000013323,ZFY,0.144879525,3.590644944,0.578138058,13.17231675
ENSSSCT00000013365,,0,NA,NA,NA
ENSSSCT00000013404,MAOA,6.511040397,0.221880523,102.2879833,0.184989786
ENSSSCT00000013411,ZNF674,0.413484753,0.80880892,0,0.602064508
ENSSSCT00000013516,,0.010891039,0.027008221,0,30.94041287
ENSSSCT00000013588,,0.194650403,0.287017483,0,0
ENSSSCT00000013686,,0.151628233,4.234734611,11.50463508,0
ENSSSCT00000013835,,0.452354637,0.106256712,0.371962083,1.050587122
ENSSSCT00000013845,,2.534643923,NA,NA,NA
ENSSSCT00000013860,,0,0.008349208,NA,NA
ENSSSCT00000013936,,NA,4.708553071,0,0.682718329
ENSSSCT00000014013,,NA,NA,63.57024637,0
ENSSSCT00000014100,,1.178869078,0.64437321,1.779198629,0.327312119
ENSSSCT00000014155,,NA,NA,0,NA
ENSSSCT00000014265,,NA,0,NA,NA
ENSSSCT00000014266,,12.34818849,2.356354384,18.5471633,21.13145248
ENSSSCT00000014320,,0.003279464,0.025934218,14.63341947,20.35561541
ENSSSCT00000014321,,0.467888816,0.16666962,1.492591665,18.63812018
ENSSSCT00000014505,,1.903477869,0.732790255,1.336697347,0.74048819
ENSSSCT00000014716,,0.476986348,1.317598622,0,52.63249298
ENSSSCT00000014836,,0,NA,0,NA
ENSSSCT00000014929,,NA,0,NA,NA
ENSSSCT00000014979,,0.097358864,NA,NA,0
ENSSSCT00000014982,,NA,2.754786964,0,NA
ENSSSCT00000014990,,NA,5.385357509,0,6.243961171
ENSSSCT00000015043,,1.030796682,0.400096697,0,1.392776691
ENSSSCT00000015188,,NA,12.63243057,NA,NA
ENSSSCT00000015250,,NA,NA,NA,NA
ENSSSCT00000015281,,0.434203073,4.141295042,0.347140506,0.690180697
ENSSSCT00000015309,,NA,NA,0,0
ENSSSCT00000015436,,NA,0.080606307,6.896394991,NA
ENSSSCT00000015480,,1.001057963,2.201712638,1.686336438,4.87558523
ENSSSCT00000015562,,0.843650693,10.06591467,19.81657735,156.9057056
ENSSSCT00000015915,,0.007106258,7.58E-04,0,0
ENSSSCT00000015925,,NA,NA,NA,0
ENSSSCT00000016021,,4.614279648,6.811594882,1.045031334,6.520114034
ENSSSCT00000016161,FOLR1,1.674932727,6.944592267,0,1.159241885
ENSSSCT00000016174,,0,2.345054775,6.951187521,7.450992603
ENSSSCT00000016375,,6.493455216,2.105828572,23.37520968,7.186281711
ENSSSCT00000016402,,3.308353663,4.013610004,0.868019475,NA
ENSSSCT00000016689,,14.88362869,NA,NA,NA
ENSSSCT00000016776,,NA,0,NA,NA
ENSSSCT00000016783,,NA,NA,NA,NA
ENSSSCT00000016829,,NA,4.097499137,15.87761558,2.04171373
ENSSSCT00000016851,,NA,NA,NA,NA
ENSSSCT00000017014,,NA,NA,NA,NA
ENSSSCT00000017209,,0.12922226,0.671189501,0,0
ENSSSCT00000017211,,0,NA,NA,NA
ENSSSCT00000017231,,4.018549602,1.550701769,8.671041931,3.919477234
ENSSSCT00000017234,PLPBP,4.998411888,7.313915758,8.063657335,3.517760396
ENSSSCT00000017409,,1.730703439,3.417218423,0.34339732,1.678261222
ENSSSCT00000017519,,0.872839632,9.433566082,8.015112366,0
ENSSSCT00000017521,,1.015716184,0.503057679,0,NA
ENSSSCT00000017530,,1.308581728,2.469033549,4.128767037,7.950780463
ENSSSCT00000017550,,4.119523046,7.947800725,NA,59.65516176
ENSSSCT00000017621,,0,11.87793137,NA,27.24588433
ENSSSCT00000017657,,NA,NA,0,0
ENSSSCT00000017765,,NA,NA,NA,NA
ENSSSCT00000017914,,0.666814107,1.540223075,17.64498772,7.843836427
ENSSSCT00000017939,,4.397375969,8.171398637,8.047734276,18.18365336
ENSSSCT00000017950,,NA,NA,0,NA
ENSSSCT00000018010,,NA,NA,NA,NA
ENSSSCT00000018018,,2.262065053,0,0,0
ENSSSCT00000018219,,3.232475821,3.473573898,2.051707168,2.326967068
ENSSSCT00000018403,,4.58384975,6.285789791,10.14994067,16.40525125
ENSSSCT00000018479,,3.061508324,1.406697984,8.210721235,1.812688059
ENSSSCT00000018492,,3.403076096,4.782691741,0,0
ENSSSCT00000018544,,2.293033215,13.52661545,0.199784421,3.540061038
ENSSSCT00000018727,,1.871517,4.681735063,0.660897705,4.622197321
ENSSSCT00000018739,,1.09503328,13.54911893,5.067086838,18.14237652
ENSSSCT00000019062,,6.10308472,2.8452525,0.688326142,1.654461147
ENSSSCT00000019388,,0,0.011771427,17.38894324,0
ENSSSCT00000019526,,NA,6.957156704,0,0
ENSSSCT00000019556,,0.260546203,2.996625343,0,2.483801715
ENSSSCT00000019573,,3.995827353,6.87658282,1.388211001,2.029963331
ENSSSCT00000019613,,3.383674223,NA,107.3500807,NA
ENSSSCT00000019641,,0.035565213,0.008949939,0,0
ENSSSCT00000019645,,0.585440223,6.271327792,1.874132974,1.057281277
ENSSSCT00000022259,,0.910197444,0.799525225,7.457809178,0
ENSSSCT00000022265,,NA,NA,53.34364998,56.55208512
ENSSSCT00000022296,,0.346757497,1.101995799,25.06569579,22.21833781
ENSSSCT00000022339,,NA,NA,NA,NA
ENSSSCT00000022370,,1.086000142,2.623108686,1.463838558,1.776718516
ENSSSCT00000022376,,2.634193715,4.847947915,6.485863958,2.102309031
ENSSSCT00000022538,,0.753319992,5.475362272,9.231894313,10.65615818
ENSSSCT00000022585,,0,0.033968791,NA,0
ENSSSCT00000022830,,NA,NA,NA,NA
ENSSSCT00000022872,,NA,NA,0,NA
ENSSSCT00000022875,,1.072595687,0.406417279,0,12.84112665
ENSSSCT00000022901,,0.831924297,0.149562192,11.33619521,0
ENSSSCT00000022951,,0,0.254927778,NA,NA
ENSSSCT00000022990,,11.22533901,60.92086485,NA,NA
ENSSSCT00000023160,,0,NA,NA,0
ENSSSCT00000023242,,0,1.662247932,0,NA
ENSSSCT00000023265,,0.523043583,1.427856483,0.988690267,0
ENSSSCT00000023365,,1.347798477,0.550243685,0,NA
ENSSSCT00000023416,,NA,NA,NA,52.75096111
ENSSSCT00000023487,,3.447512054,2.853522044,99.14978943,NA
ENSSSCT00000023496,,0.676372329,0.298912478,0,11.83466799
ENSSSCT00000023644,,3.999860383,27.13717678,6.270730848,3.461951758
ENSSSCT00000023729,ELF2,0.642667422,18.87446678,0,5.937888178
ENSSSCT00000023761,,1.104529154,0,NA,NA
ENSSSCT00000023904,,0.461797434,2.798034109,0.793409655,0.27928591
ENSSSCT00000024086,,0.631367205,NA,NA,NA
ENSSSCT00000024127,,0,0.079798419,0,0
ENSSSCT00000024146,,0,NA,0,0
ENSSSCT00000024186,,0.406838297,0.578939972,NA,NA
ENSSSCT00000024228,,0.314407688,1.092703035,4.559801286,0
ENSSSCT00000024354,,1.701512475,1.309366648,14.24224511,4.015155028
ENSSSCT00000024358,,NA,NA,NA,17.44434973
ENSSSCT00000024400,,NA,NA,0,0
ENSSSCT00000024443,,7.258698786,14.1195252,0,1.236037212
ENSSSCT00000024455,,0.841276871,1.643236065,0.457316185,0.729533099
ENSSSCT00000024482,,0.272446752,1.839355589,0.830394166,0.211959105
ENSSSCT00000024574,,0.131796432,0.305659959,4.702551593,1.187074078
ENSSSCT00000024579,,2.61386251,9.190195641,1.008350257,7.035884505
ENSSSCT00000024598,,0,0.352410133,NA,0
ENSSSCT00000024614,,4.366567929,0.978476329,2.887877653,1.862338165
ENSSSCT00000024782,,NA,0,NA,5.036820373
ENSSSCT00000025197,,0.116600603,0.087851801,NA,NA
ENSSSCT00000025206,,0.644398654,8.9789666,2.818675682,0.483044342
ENSSSCT00000025236,,NA,0,24.29587327,NA
ENSSSCT00000025243,,NA,0.263136422,46.19137781,NA
ENSSSCT00000025281,,0.5649107,0.61661566,1.160520266,3.018780414
ENSSSCT00000025299,,0.199939816,1.132825303,0,238.7806771
ENSSSCT00000025314,POLR2K,0.186067852,0.346147203,0,3.059525183
ENSSSCT00000025350,,0,0.016946063,0,0
ENSSSCT00000025390,,1.214824212,6.770792472,5.308036357,22.90716722
ENSSSCT00000025520,,NA,NA,NA,NA
ENSSSCT00000025560,,0,0.021126139,0,NA
ENSSSCT00000025596,CKS2,2.361148109,4.530450564,0.60190882,1.191347523
ENSSSCT00000025667,,1.280041188,2.202066425,24.79800779,0
ENSSSCT00000025694,,1.834853277,0.623762054,10.12044172,0.845528744
ENSSSCT00000025717,,0.22028014,0.201648079,0,0
ENSSSCT00000025729,,NA,0.417195711,NA,NA
ENSSSCT00000025751,,NA,NA,NA,NA
ENSSSCT00000025763,,0.763520864,2.786660329,4.081544939,1.232270793
ENSSSCT00000025854,,2.386352124,0.768357609,1.060196321,10.26999231
ENSSSCT00000025887,,0.528766456,0.882552743,2.266402993,0
ENSSSCT00000025950,,2.428540647,1.420778583,3.757162889,2.234821235
ENSSSCT00000026007,,NA,0,0,NA
ENSSSCT00000026025,,0.834982278,0.692957969,70.87985475,8.334458409
ENSSSCT00000026364,,0,NA,NA,NA
ENSSSCT00000026503,,NA,NA,NA,NA
ENSSSCT00000026508,,1.535047265,0.793144467,30.99340158,6.296824179
ENSSSCT00000026535,,11.96591393,6.628506883,3.018035428,10.41826327
ENSSSCT00000026645,,NA,NA,NA,NA
ENSSSCT00000026829,,1.810568499,5.5816894,0,5.095915749
ENSSSCT00000026862,,6.791686393,2.270977793,5.959388034,NA
ENSSSCT00000026877,,10.71918659,NA,NA,NA
ENSSSCT00000026903,,NA,NA,NA,NA
ENSSSCT00000026911,,NA,NA,NA,NA
ENSSSCT00000027100,,NA,0,NA,NA
ENSSSCT00000027190,,0.733676177,3.501033574,1.810828581,5.565726516
ENSSSCT00000027233,,3.345995624,2.406405746,0,5.155227118
ENSSSCT00000027269,,0,0.331429204,1.883437537,11.41108528
ENSSSCT00000027310,,0,NA,NA,0
ENSSSCT00000027404,,2.213258066,4.647254305,2.438619084,3.369904112
ENSSSCT00000027406,,0.740800802,NA,0,0
ENSSSCT00000027454,,1.183890037,0,NA,NA
ENSSSCT00000027499,,NA,NA,10.77425567,0
ENSSSCT00000027506,,0.013208394,0.007048136,188.7636512,30.28315253
ENSSSCT00000027546,,NA,NA,NA,NA
ENSSSCT00000027565,,0,NA,NA,NA
ENSSSCT00000027579,,1.939859739,8.77235542,0.250957815,1.876272053
ENSSSCT00000027869,,3.133586793,3.474504129,43.25983477,10.16587313
ENSSSCT00000027953,,1.120306593,9.002058573,2.042011119,1.421043666
ENSSSCT00000028067,,NA,NA,92.35988198,NA
ENSSSCT00000028079,,5.050566082,5.048533409,6.521176078,4.275578714
ENSSSCT00000028252,,2.078340724,1.148721947,0,0
ENSSSCT00000028320,,11.22524436,10.345929,3.210769982,43.35492114
ENSSSCT00000028428,,5.500769527,7.250483511,1.30748876,0.811603901
ENSSSCT00000028507,,3.745040869,4.441876401,4.219363434,2.479273377
ENSSSCT00000028566,,5.096611204,3.550185655,125.3410013,8.67375598
ENSSSCT00000028653,,NA,0.591935271,NA,NA
ENSSSCT00000028823,,1.125150444,7.279905273,0,0
ENSSSCT00000028840,,5.588150634,10.4093587,1.504426149,16.69487974
ENSSSCT00000028859,,4.116555791,20.6540946,109.1621592,43.56176411
ENSSSCT00000028880,,NA,1.086370213,NA,NA
ENSSSCT00000028935,,0.846765244,NA,13.33078222,3.533481307
ENSSSCT00000028940,,0.119300609,0,10.7665991,0
ENSSSCT00000028953,,0.083677358,NA,0,24.45391806
ENSSSCT00000029057,,2.480782444,6.994016059,1.664079628,54.53223116
ENSSSCT00000029059,,NA,NA,0,180.010826
ENSSSCT00000029139,,1.32678423,6.141194662,4.678723134,6.18690472
ENSSSCT00000029267,,NA,0.157539769,NA,NA
ENSSSCT00000029280,,1.470946249,14.07593517,NA,1.6081238
ENSSSCT00000029351,,16.29572522,11.83093799,3.826806736,9.827888772
ENSSSCT00000029353,,0.729374018,4.020043847,1.59149066,0.453140121
ENSSSCT00000029423,,0.011635978,NA,0,0
ENSSSCT00000029439,,0.92874928,0.411636211,13.35480229,12.21382962
ENSSSCT00000029447,,2.95501479,3.997871343,7.737965346,25.61887747
ENSSSCT00000029558,,NA,NA,NA,NA
ENSSSCT00000029661,,NA,NA,74.38491139,NA
ENSSSCT00000029662,,0,0.216387147,NA,NA
ENSSSCT00000029722,,1.725154334,5.52651474,4.954619774,9.674398128
ENSSSCT00000029733,,0.921828645,1.53866251,0,0.466664096
ENSSSCT00000029798,,0.391213674,1.502362057,0,0
