"GeneID","RNAseq_H2","RNAseq_H3","RNAseq_H6","RNAseq_H7","RNAseq_H8","RNAseq_W1","RNAseq_W10","RNAseq_W6","RNAseq_W7","RNAseq_W9"
"ENSSSCG00000000167",0,7,13,11,16,10,30,16,43,58
"ENSSSCG00000000171",14,11,13,10,30,4,72,80,112,137
"ENSSSCG00000000174",0,1,2,1,2,0,0,0,0,0
"ENSSSCG00000000175",8,31,13,10,47,10,182,131,88,68
"ENSSSCG00000000176",33,66,81,59,121,76,415,431,969,1295
"ENSSSCG00000000179",1,1,2,0,1,1,4,2,13,26
"ENSSSCG00000000182",4,1,4,1,4,2,23,5,41,106
"ENSSSCG00000000183",0,0,0,1,1,0,2,0,0,0
"ENSSSCG00000000184",3,3,2,0,0,0,2,0,2,1
"ENSSSCG00000000185",14,19,22,23,35,22,148,164,332,391
"ENSSSCG00000000186",1,0,1,0,1,0,1,4,11,15
"ENSSSCG00000000188",1,4,1,2,3,0,0,0,0,1
"ENSSSCG00000000189",14,15,20,14,26,25,169,137,395,433
"ENSSSCG00000000190",20,25,33,34,117,22,2104,1876,2192,2442
"ENSSSCG00000000194",1,2,1,1,30,5,79,55,44,60
"ENSSSCG00000000195",0,0,1,1,2,0,1,0,0,2
"ENSSSCG00000000197",2,2,2,1,2,3,0,0,0,2
"ENSSSCG00000000198",3,1,2,1,14,1,0,0,0,5
"ENSSSCG00000000199",16,29,34,25,27,13,113,68,261,266
"ENSSSCG00000000202",12,26,21,20,49,24,208,271,431,537
"ENSSSCG00000000203",2,2,0,2,22,1,0,0,1,3
"ENSSSCG00000000204",0,4,1,4,12,2,19,9,33,36
"ENSSSCG00000000205",0,5,1,2,3,5,0,0,1,0
"ENSSSCG00000000206",0,0,1,1,5,0,1,0,0,0
"ENSSSCG00000000207",0,0,0,0,0,0,3,1,3,1
"ENSSSCG00000000209",5,11,11,15,18,13,31,32,116,175
"ENSSSCG00000000211",0,0,0,0,0,0,2,0,1,0
"ENSSSCG00000000212",0,1,0,2,0,0,0,1,0,1
"ENSSSCG00000000214",3,11,8,3,8,4,5,24,21,41
"ENSSSCG00000000215",12,22,16,18,45,38,148,229,564,561
"ENSSSCG00000000216",1,0,0,0,2,0,0,0,2,2
"ENSSSCG00000000217",8,9,17,24,91,29,205,93,242,295
"ENSSSCG00000000220",0,2,3,6,5,1,13,9,49,30
"ENSSSCG00000000223",69,133,203,153,214,128,1241,853,2904,2906
"ENSSSCG00000000228",3,2,2,4,0,2,16,9,39,39
"ENSSSCG00000000231",2,1,0,0,0,0,0,0,0,0
"ENSSSCG00000000232",112,37,54,21,40,38,73,63,1230,549
"ENSSSCG00000000233",12,5,1,1,13,2,11,11,41,80
"ENSSSCG00000000234",0,4,2,6,3,1,21,33,29,46
"ENSSSCG00000000235",0,0,1,0,0,0,0,4,1,5
"ENSSSCG00000000236",1,1,0,0,1,0,1,0,0,0
"ENSSSCG00000000238",0,1,0,0,0,0,0,0,0,0
"ENSSSCG00000000240",1,1,3,1,4,0,21,11,68,38
"ENSSSCG00000000241",0,0,1,0,0,0,0,0,0,0
"ENSSSCG00000000250",0,2,0,1,0,1,0,0,0,0
"ENSSSCG00000000251",0,0,0,1,0,3,0,0,0,0
"ENSSSCG00000000252",0,1,10,6,175,0,17,117,1,159
"ENSSSCG00000000253",0,0,1,3,65,4,3,0,0,0
"ENSSSCG00000000257",112,232,329,237,304,262,2963,2721,4777,4872
"ENSSSCG00000000258",21,20,17,15,25,21,66,83,324,455
"ENSSSCG00000000259",2,10,3,5,12,4,44,25,58,77
"ENSSSCG00000000260",0,2,0,0,10,0,0,0,0,0
"ENSSSCG00000000261",0,0,0,0,16,0,0,0,0,4
"ENSSSCG00000000262",18,27,20,26,89,23,193,164,553,641
"ENSSSCG00000000263",1,1,3,2,16,0,1,13,4,16
"ENSSSCG00000000264",5,9,14,5,18,7,118,118,332,300
"ENSSSCG00000000265",14,11,22,23,59,37,131,175,167,361
"ENSSSCG00000000267",7,8,12,6,22,9,253,287,457,445
"ENSSSCG00000000268",4,17,12,13,32,14,126,110,257,269
"ENSSSCG00000000271",2,7,8,1,5,7,4,9,8,10
"ENSSSCG00000000272",39,74,79,72,106,93,210,199,404,484
"ENSSSCG00000000273",11,19,24,17,76,24,428,423,830,916
"ENSSSCG00000000274",170,291,344,218,534,398,1115,1770,2791,3356
"ENSSSCG00000000275",8,18,22,16,17,9,73,57,235,175
"ENSSSCG00000000276",2,12,9,16,16,8,75,93,173,189
"ENSSSCG00000000277",0,1,0,0,1,1,3,15,2,2
"ENSSSCG00000000278",22,46,49,38,50,34,173,134,486,541
"ENSSSCG00000000279",0,0,0,1,3,2,0,0,1,0
"ENSSSCG00000000281",0,2,1,0,1,1,0,0,0,0
"ENSSSCG00000000288",118,243,328,276,462,281,4408,2626,7400,7311
"ENSSSCG00000000289",28,25,19,11,36,20,124,219,372,375
"ENSSSCG00000000290",36,44,59,37,117,41,683,720,1175,1284
"ENSSSCG00000000291",5,6,13,59,191,47,9,108,373,82
"ENSSSCG00000000292",6,6,6,4,17,2,95,57,184,183
"ENSSSCG00000000293",34,83,92,114,185,107,279,572,1396,1334
"ENSSSCG00000000295",185,268,424,299,402,271,1850,1738,5136,4617
"ENSSSCG00000000297",30,32,43,38,51,32,176,98,256,406
"ENSSSCG00000000299",10,28,37,35,41,39,114,33,237,272
"ENSSSCG00000000359",5,14,6,11,15,8,113,335,120,121
"ENSSSCG00000000361",103,85,104,63,204,71,396,369,1391,1157
"ENSSSCG00000000362",0,0,0,0,2,1,0,0,0,0
"ENSSSCG00000000363",1,3,2,5,6,1,4,16,22,24
"ENSSSCG00000000364",10,21,15,13,37,20,206,124,419,444
"ENSSSCG00000000365",9,14,18,7,27,13,211,211,399,483
"ENSSSCG00000000366",32,38,52,50,54,58,556,347,1133,1116
"ENSSSCG00000000367",7,3,3,4,11,7,30,12,52,87
"ENSSSCG00000000368",2,1,0,2,5,2,1,0,11,22
"ENSSSCG00000000370",11,34,51,41,82,58,373,256,919,935
"ENSSSCG00000000371",3,1,0,2,6,3,5,0,25,3
"ENSSSCG00000000376",3,8,9,10,11,14,93,94,154,234
"ENSSSCG00000000377",21,46,42,35,94,47,599,682,1159,1154
"ENSSSCG00000000379",97,157,242,171,287,164,1416,1275,3114,3527
"ENSSSCG00000000382",68,157,188,151,249,194,646,757,1724,1750
"ENSSSCG00000000383",9,17,18,5,28,8,129,52,210,267
"ENSSSCG00000000384",8,9,18,7,27,8,149,110,228,285
"ENSSSCG00000000385",0,0,1,1,0,4,4,2,0,3
"ENSSSCG00000000386",22,51,63,58,92,63,151,178,429,607
"ENSSSCG00000000393",23,86,68,66,105,53,360,156,695,886
"ENSSSCG00000000394",7,4,12,12,34,13,130,79,184,236
"ENSSSCG00000000396",91,195,176,202,267,261,882,1117,2278,2525
"ENSSSCG00000000398",2,4,3,4,1,1,20,10,35,42
"ENSSSCG00000000400",2,1,3,4,4,1,0,0,0,1
"ENSSSCG00000000401",2,0,0,1,3,3,0,3,4,5
"ENSSSCG00000000402",0,0,1,0,6,0,5,0,6,16
"ENSSSCG00000000403",101,175,188,150,242,163,435,424,1441,1433
"ENSSSCG00000000405",110,126,160,112,352,154,3071,2816,5483,5735
"ENSSSCG00000000406",25,43,39,37,106,80,550,285,834,976
"ENSSSCG00000000411",6,12,4,3,8,2,27,24,62,202
"ENSSSCG00000000413",0,1,3,7,1,3,0,0,12,4
"ENSSSCG00000000415",1,1,0,0,0,1,0,0,0,0
"ENSSSCG00000000419",2,3,5,3,2,0,3,0,4,6
"ENSSSCG00000000431",20,28,22,27,42,17,106,96,389,555
"ENSSSCG00000000433",6,4,3,4,8,4,19,37,205,67
"ENSSSCG00000000435",0,3,5,1,4,4,4,3,0,13
