"GeneID","RNAseq_H2","RNAseq_H3","RNAseq_H6","RNAseq_H7","RNAseq_H8","RNAseq_W1","RNAseq_W10","RNAseq_W6","RNAseq_W7","RNAseq_W9"
"ENSSSCG00000005529",3,1,0,1,2,2,0,0,1,0
"ENSSSCG00000005530",1,1,1,3,2,4,0,0,2,5
"ENSSSCG00000005532",7,6,12,10,24,11,139,99,179,257
"ENSSSCG00000005533",0,4,4,0,5,1,10,37,18,15
"ENSSSCG00000005555",1,0,0,0,1,0,0,0,0,0
"ENSSSCG00000005575",27,57,64,57,86,49,202,27,352,440
"ENSSSCG00000005576",1,5,7,8,11,10,53,75,70,159
"ENSSSCG00000005578",0,0,0,0,0,1,0,0,0,0
"ENSSSCG00000005582",5,23,24,20,34,29,146,54,261,324
"ENSSSCG00000005584",0,3,4,2,5,2,5,45,0,77
"ENSSSCG00000005585",21,40,30,25,38,28,75,111,251,369
"ENSSSCG00000005586",0,0,1,0,0,0,0,0,2,2
"ENSSSCG00000005587",17,20,20,15,69,19,142,185,354,612
"ENSSSCG00000005588",0,2,0,2,1,0,0,0,1,11
"ENSSSCG00000005590",10,10,14,11,65,19,489,458,803,828
"ENSSSCG00000005591",1,0,0,0,0,0,0,0,0,0
"ENSSSCG00000005593",0,0,0,1,6,2,3,0,0,5
"ENSSSCG00000005594",0,0,1,0,0,0,0,2,0,0
"ENSSSCG00000005596",10,18,25,22,49,29,485,332,697,884
"ENSSSCG00000005597",5,15,24,8,14,18,83,31,161,187
"ENSSSCG00000005598",1,9,4,7,6,6,6,6,19,29
"ENSSSCG00000005599",2,5,10,4,18,14,64,99,142,164
"ENSSSCG00000005600",11,12,25,15,33,16,356,185,575,588
"ENSSSCG00000005601",106,219,224,192,652,206,2353,1165,2697,3465
"ENSSSCG00000005602",51,94,113,86,147,82,275,126,607,750
"ENSSSCG00000005604",6,1,6,5,7,6,19,12,32,85
"ENSSSCG00000005607",0,12,4,5,6,6,17,0,17,19
"ENSSSCG00000005608",0,2,3,2,1,0,4,53,3,54
"ENSSSCG00000005609",0,1,3,1,1,1,0,0,3,4
"ENSSSCG00000005610",4,4,6,1,8,6,6,20,24,47
"ENSSSCG00000005611",3,8,11,13,16,9,154,66,221,231
"ENSSSCG00000005613",9,3,10,9,13,7,12,56,69,93
"ENSSSCG00000005614",17,12,19,11,83,7,50,95,315,203
"ENSSSCG00000005615",1,0,1,0,2,0,1,0,1,1
"ENSSSCG00000005616",0,3,1,6,4,2,2,9,27,24
"ENSSSCG00000005617",14,3,7,5,10,12,1,9,180,53
"ENSSSCG00000005618",1,0,0,3,4,1,0,0,6,6
"ENSSSCG00000005619",4,6,7,7,10,8,48,67,111,156
"ENSSSCG00000005620",36,41,56,58,70,55,322,431,1179,1452
"ENSSSCG00000005621",43,50,56,58,103,47,470,509,1228,1607
"ENSSSCG00000005623",15,13,14,15,46,13,118,96,267,321
"ENSSSCG00000005625",3,7,15,5,11,11,29,28,52,248
"ENSSSCG00000005626",5,12,16,21,31,16,113,192,443,468
"ENSSSCG00000005627",0,0,0,0,1,1,4,12,4,7
"ENSSSCG00000005628",42,53,46,46,77,38,376,549,864,1157
"ENSSSCG00000005629",0,10,0,0,4,4,1,2,1,1
"ENSSSCG00000005631",29,82,144,87,193,152,508,516,1564,1486
"ENSSSCG00000005636",14,17,33,26,68,25,133,112,252,422
"ENSSSCG00000005638",15,7,1,3,17,9,15,29,53,147
"ENSSSCG00000005640",20,43,60,39,66,74,205,253,459,529
"ENSSSCG00000005641",0,0,1,3,4,1,1,1,23,7
"ENSSSCG00000005643",25,30,33,28,79,30,210,127,366,441
"ENSSSCG00000005645",12,8,5,4,14,15,64,45,166,336
"ENSSSCG00000005646",18,12,9,17,18,12,90,77,243,239
"ENSSSCG00000005648",37,15,21,17,31,14,52,145,365,435
"ENSSSCG00000005649",10,17,20,25,52,21,186,219,447,558
"ENSSSCG00000005650",0,2,1,3,18,1,16,6,7,22
"ENSSSCG00000005651",19,35,32,31,72,38,318,216,353,507
"ENSSSCG00000005652",7,14,21,22,37,26,210,194,372,451
"ENSSSCG00000005654",308,878,780,763,1185,701,2304,3313,8132,8867
"ENSSSCG00000005655",3,1,2,4,26,1,15,47,40,52
"ENSSSCG00000005656",30,75,123,96,174,111,2313,834,3152,2974
"ENSSSCG00000005657",1,4,1,2,2,2,6,4,6,11
"ENSSSCG00000005659",12,24,24,18,42,17,64,93,227,196
"ENSSSCG00000005660",22,23,19,16,34,14,118,187,356,515
"ENSSSCG00000005661",0,1,0,0,1,1,4,12,14,15
"ENSSSCG00000005662",4,9,6,5,29,8,99,62,103,138
"ENSSSCG00000005663",2,1,0,3,18,5,35,8,34,23
"ENSSSCG00000005664",36,39,39,24,99,39,277,276,496,667
"ENSSSCG00000005665",0,4,2,1,6,1,4,5,8,18
"ENSSSCG00000005666",0,1,1,0,1,1,13,2,14,26
"ENSSSCG00000005667",34,72,91,65,141,75,380,441,834,1021
"ENSSSCG00000005668",11,11,10,12,29,14,108,193,298,296
"ENSSSCG00000005669",5,20,10,13,15,13,98,46,172,216
"ENSSSCG00000005671",9,23,15,15,50,25,186,364,333,352
"ENSSSCG00000005672",34,32,59,41,133,67,395,390,759,923
"ENSSSCG00000005673",3,3,2,1,8,3,10,16,15,13
"ENSSSCG00000005678",3,4,3,4,13,5,52,56,77,103
"ENSSSCG00000005679",10,12,8,8,18,9,40,61,168,272
"ENSSSCG00000005680",1,1,0,0,0,0,1,0,1,4
"ENSSSCG00000005688",0,1,0,1,12,2,1,0,0,0
"ENSSSCG00000005689",65,97,152,137,147,120,642,196,1424,1318
"ENSSSCG00000005699",1,4,2,3,4,5,0,0,0,0
"ENSSSCG00000005701",0,1,0,0,1,1,0,8,0,12
"ENSSSCG00000005702",6,17,20,13,21,17,84,49,228,292
"ENSSSCG00000005703",0,0,0,1,0,0,0,0,0,0
"ENSSSCG00000005704",7,20,22,24,37,33,115,109,158,284
"ENSSSCG00000005705",0,1,0,0,0,0,0,0,0,0
"ENSSSCG00000005706",14,29,38,21,65,22,150,113,376,399
"ENSSSCG00000005707",0,1,0,3,1,2,0,0,0,2
"ENSSSCG00000005710",0,2,1,0,1,2,0,0,0,0
"ENSSSCG00000005711",46,119,103,80,130,90,308,647,1169,1325
"ENSSSCG00000005713",1,1,1,2,5,0,7,0,13,11
"ENSSSCG00000005715",158,458,441,441,684,464,876,806,3330,4826
"ENSSSCG00000005716",9,9,13,7,21,15,44,43,116,171
"ENSSSCG00000005717",9,9,14,15,24,10,142,215,354,436
"ENSSSCG00000005719",73,138,166,138,198,179,540,743,1564,1899
"ENSSSCG00000005720",1,12,8,11,16,12,72,119,148,248
"ENSSSCG00000005723",0,2,1,1,6,0,0,1,4,0
"ENSSSCG00000005724",94,270,291,347,489,412,646,299,1664,2092
"ENSSSCG00000005725",10,34,36,39,44,38,76,37,178,309
"ENSSSCG00000005727",1,0,0,0,0,0,0,0,0,0
"ENSSSCG00000005729",7,26,31,21,35,23,79,81,185,246
"ENSSSCG00000005730",4,1,3,0,2,1,0,2,0,0
"ENSSSCG00000005731",15,31,46,55,55,51,246,148,490,555
"ENSSSCG00000005737",1,6,7,8,9,2,19,27,27,29
"ENSSSCG00000005738",23,48,46,33,72,50,245,240,840,779
"ENSSSCG00000005740",1,1,1,0,2,0,0,0,2,0
"ENSSSCG00000005742",0,0,1,0,1,0,0,0,0,0
"ENSSSCG00000005743",32,138,156,86,149,56,297,460,700,906
"ENSSSCG00000005749",19,50,40,30,55,28,117,67,373,446
"ENSSSCG00000005751",2,6,13,5,82,15,48,73,177,301
"ENSSSCG00000005753",26,37,47,35,78,34,133,126,286,394
"ENSSSCG00000005756",0,0,0,0,0,1,0,0,0,0
"ENSSSCG00000005759",6,10,13,7,26,8,122,244,212,195
"ENSSSCG00000005761",4,2,1,2,11,3,5,39,66,68
"ENSSSCG00000005762",9,6,9,6,3,6,119,19,168,95
"ENSSSCG00000005767",0,0,3,4,1,1,0,0,0,0
"ENSSSCG00000005771",2,8,7,8,12,8,54,24,88,90
"ENSSSCG00000005777",4,2,6,7,20,15,122,65,178,195
"ENSSSCG00000005780",6,3,0,7,2,7,2,0,1,1
"ENSSSCG00000005781",0,7,3,6,1,5,0,0,0,0
"ENSSSCG00000005782",2,2,2,1,10,5,32,12,59,70
"ENSSSCG00000005785",0,0,1,3,9,2,2,7,1,41
"ENSSSCG00000005786",6,13,20,7,33,14,215,90,307,302
"ENSSSCG00000005787",34,67,54,44,89,58,315,333,937,1071
"ENSSSCG00000005813",1,0,0,0,0,0,0,0,0,0
"ENSSSCG00000005828",6,1,3,0,8,3,6,10,22,32
"ENSSSCG00000005832",13,75,95,74,97,40,267,252,580,538
"ENSSSCG00000005834",0,1,0,0,1,0,0,0,0,0
"ENSSSCG00000005835",0,0,0,0,1,0,0,0,0,0
"ENSSSCG00000005836",0,1,0,0,0,0,0,0,0,0
"ENSSSCG00000005837",3,2,3,3,18,4,19,12,21,39
"ENSSSCG00000005838",7,25,31,17,54,29,136,229,379,606
"ENSSSCG00000005839",13,13,19,19,16,6,189,318,285,365
"ENSSSCG00000005840",0,1,4,1,1,3,0,0,0,2
"ENSSSCG00000005841",20,45,53,43,75,51,403,464,887,996
"ENSSSCG00000005842",5,3,2,5,6,2,26,90,67,67
"ENSSSCG00000005844",0,1,1,3,0,0,4,0,8,31
"ENSSSCG00000005845",16,19,10,9,16,10,74,75,197,296
"ENSSSCG00000005846",28,48,46,40,75,44,306,376,724,886
"ENSSSCG00000005848",0,0,0,1,14,1,29,30,20,33
"ENSSSCG00000005852",0,1,3,0,1,3,0,0,2,1
"ENSSSCG00000005855",10,9,16,17,9,10,34,62,49,61
"ENSSSCG00000005857",0,0,0,0,3,0,0,3,0,1
"ENSSSCG00000005858",0,1,0,0,2,1,0,0,0,0
"ENSSSCG00000005859",11,14,6,10,11,10,106,166,211,279
"ENSSSCG00000005880",3,4,3,7,20,9,118,82,155,256
"ENSSSCG00000005890",5,7,7,10,16,9,54,23,156,245
"ENSSSCG00000005893",2,1,7,4,5,0,37,6,26,78
"ENSSSCG00000005894",5,14,9,3,15,4,15,26,78,93
"ENSSSCG00000005895",2,5,3,8,22,8,104,74,150,153
"ENSSSCG00000005896",0,0,0,1,0,0,0,0,0,0
"ENSSSCG00000005899",3,12,6,7,10,8,65,113,187,187
"ENSSSCG00000005901",0,5,5,9,16,3,28,19,61,45
"ENSSSCG00000005902",0,0,0,2,3,0,0,0,0,1
"ENSSSCG00000005904",21,36,34,22,46,15,213,475,493,593
"ENSSSCG00000005905",0,2,2,2,4,2,3,4,1,0
"ENSSSCG00000005907",5,14,26,15,22,17,133,208,238,227
"ENSSSCG00000005908",0,5,6,4,10,1,21,39,70,68
"ENSSSCG00000005909",4,5,8,4,13,9,48,50,112,188
"ENSSSCG00000005911",0,2,1,2,13,0,1,4,5,9
"ENSSSCG00000005912",13,12,21,8,38,11,174,145,421,444
"ENSSSCG00000005914",4,11,9,8,22,10,118,173,172,187
"ENSSSCG00000005915",30,50,50,27,75,33,413,521,1050,1348
"ENSSSCG00000005917",12,23,30,15,47,21,138,161,318,391
"ENSSSCG00000005918",2,1,4,4,1,3,19,38,33,66
"ENSSSCG00000005920",21,27,35,27,53,25,257,349,569,511
"ENSSSCG00000005923",0,1,0,0,2,0,0,3,2,0
"ENSSSCG00000005924",104,219,189,164,231,143,510,873,1500,1407
"ENSSSCG00000005925",0,4,5,6,18,4,66,55,115,131
"ENSSSCG00000005928",1,2,0,1,4,2,0,0,2,6
"ENSSSCG00000005930",12,14,5,5,24,9,13,44,94,137
"ENSSSCG00000005933",10,6,19,13,47,18,134,94,204,201
"ENSSSCG00000005934",24,50,61,43,87,32,132,274,482,503
"ENSSSCG00000005935",39,103,76,73,98,102,186,205,394,386
"ENSSSCG00000005938",1,3,3,3,0,5,0,0,0,10
"ENSSSCG00000005939",1,2,3,0,1,4,0,0,0,0
"ENSSSCG00000005941",1,0,2,0,0,3,1,2,1,18
"ENSSSCG00000005943",17,61,86,57,74,60,235,234,783,1618
"ENSSSCG00000005944",23,37,42,28,116,32,646,343,927,1190
"ENSSSCG00000005946",0,1,2,0,0,0,1,1,5,3
"ENSSSCG00000005948",0,2,1,0,1,1,2,11,5,15
"ENSSSCG00000005949",59,106,113,96,188,138,586,728,1447,1653
"ENSSSCG00000005950",51,72,67,50,81,50,330,144,579,830
"ENSSSCG00000005951",16,13,23,24,24,27,171,81,293,622
"ENSSSCG00000005952",0,4,1,2,4,3,0,0,0,2
"ENSSSCG00000005953",4,1,3,2,3,2,0,6,2,18
"ENSSSCG00000005954",0,0,0,0,0,0,5,0,8,15
"ENSSSCG00000005955",28,35,51,52,98,49,565,134,1075,891
"ENSSSCG00000005959",21,31,49,34,59,50,346,123,583,492
"ENSSSCG00000005961",0,0,3,0,0,2,0,0,1,0
"ENSSSCG00000005962",4,1,6,6,2,5,0,0,0,0
"ENSSSCG00000005965",45,169,226,231,374,136,777,891,2598,2097
"ENSSSCG00000005967",0,0,0,2,4,0,2,0,0,7
"ENSSSCG00000005969",23,31,47,29,48,41,252,133,526,454
"ENSSSCG00000005970",5,13,13,10,40,19,201,32,247,123
"ENSSSCG00000005971",3,14,20,13,16,18,45,20,64,92
"ENSSSCG00000005975",62,113,119,102,103,102,333,77,812,1238
"ENSSSCG00000005976",16,24,27,28,59,25,292,276,421,453
"ENSSSCG00000005979",1,0,1,3,17,0,0,0,0,0
"ENSSSCG00000005981",6,20,16,21,50,29,69,49,286,430
"ENSSSCG00000005982",0,3,6,0,13,3,58,41,112,143
"ENSSSCG00000005983",25,39,48,45,60,61,370,65,318,436
"ENSSSCG00000005984",17,21,18,16,33,18,111,5,177,159
"ENSSSCG00000005986",0,0,0,0,1,1,0,0,0,1
"ENSSSCG00000005987",4,13,17,15,16,19,54,5,52,101
"ENSSSCG00000005992",6,9,10,11,19,12,0,0,0,0
"ENSSSCG00000005994",19,27,25,34,42,36,47,31,317,499
"ENSSSCG00000005995",3,7,8,4,13,11,76,37,62,81
"ENSSSCG00000005996",5,21,15,5,35,5,134,61,182,147
"ENSSSCG00000005997",1,1,1,1,2,4,0,4,0,8
"ENSSSCG00000006000",23,26,37,47,43,49,197,42,379,428
"ENSSSCG00000006001",0,1,1,1,0,0,4,3,23,21
"ENSSSCG00000006002",0,2,2,0,8,1,10,10,6,32
"ENSSSCG00000006003",0,1,0,0,28,0,0,1,0,1
"ENSSSCG00000006009",13,20,14,17,66,21,52,154,92,96
"ENSSSCG00000006011",3,0,2,0,3,1,0,0,0,0
"ENSSSCG00000006013",0,0,0,1,0,0,0,0,0,0
"ENSSSCG00000006014",75,140,165,138,238,158,1343,322,1861,2257
"ENSSSCG00000006016",45,78,81,70,150,79,1898,1537,3639,3257
"ENSSSCG00000006018",66,83,89,60,112,87,75,28,314,255
"ENSSSCG00000006021",1,3,1,0,2,0,0,0,0,4
"ENSSSCG00000006023",0,1,0,1,1,0,0,0,0,6
"ENSSSCG00000006024",10,10,16,9,19,23,126,41,201,205
"ENSSSCG00000006025",0,2,5,0,3,2,3,10,1,26
"ENSSSCG00000006029",5,12,10,6,20,14,112,30,135,132
"ENSSSCG00000006031",2,4,5,5,6,4,31,0,66,94
"ENSSSCG00000006032",1,10,7,5,8,10,70,22,122,147
"ENSSSCG00000006033",26,41,47,60,97,95,1610,492,3172,2855
"ENSSSCG00000006034",1,5,2,5,4,6,2,0,14,62
"ENSSSCG00000006035",0,5,7,6,6,2,0,3,3,0
"ENSSSCG00000006037",18,24,29,17,34,31,121,16,199,233
"ENSSSCG00000006038",0,0,3,4,2,2,0,0,2,5
"ENSSSCG00000006039",2,6,6,9,9,13,27,23,77,90
"ENSSSCG00000006040",0,0,2,4,4,1,9,2,31,26
"ENSSSCG00000006043",0,0,1,0,1,0,0,0,0,2
"ENSSSCG00000006048",8,19,14,10,15,19,178,68,319,299
"ENSSSCG00000006049",3,5,7,5,14,9,54,0,81,70
"ENSSSCG00000006050",0,0,1,0,0,1,1,0,1,0
"ENSSSCG00000006051",0,0,1,0,1,0,0,5,0,1
"ENSSSCG00000006052",2,0,2,0,15,2,3,0,1,21
"ENSSSCG00000006054",6,12,15,6,7,5,175,55,283,303
"ENSSSCG00000006059",4,19,18,15,32,13,109,59,267,227
"ENSSSCG00000006060",1,1,0,0,1,1,9,0,3,1
"ENSSSCG00000006062",135,211,269,245,379,299,2738,1192,4265,4495
"ENSSSCG00000006063",259,532,535,463,707,517,4898,1768,9979,8585
"ENSSSCG00000006064",0,0,0,0,0,0,0,0,0,1
"ENSSSCG00000006065",2,2,10,4,10,5,46,10,50,91
"ENSSSCG00000006066",18,71,59,53,77,42,247,89,589,781
"ENSSSCG00000006069",2,1,0,0,3,0,0,0,0,0
"ENSSSCG00000006071",52,119,203,135,172,124,206,64,492,628
"ENSSSCG00000006073",0,0,0,0,3,0,0,0,0,0
"ENSSSCG00000006074",4,4,7,8,5,4,24,0,63,63
"ENSSSCG00000006078",4,10,14,10,8,16,45,23,86,92
"ENSSSCG00000006079",4,3,11,5,22,3,159,45,201,311
"ENSSSCG00000006081",38,115,149,132,260,125,3437,2749,6332,5896
"ENSSSCG00000006082",0,0,1,2,1,2,10,33,0,94
"ENSSSCG00000006083",1,0,2,2,20,1,29,35,47,92
"ENSSSCG00000006084",33,51,67,51,81,38,542,128,977,842
"ENSSSCG00000006087",0,1,0,0,5,0,5,0,3,8
"ENSSSCG00000006088",2,7,2,2,6,4,52,0,107,139
"ENSSSCG00000006089",17,17,28,27,71,22,389,479,815,958
"ENSSSCG00000006090",9,32,19,24,21,22,76,17,150,146
"ENSSSCG00000006093",3,4,2,1,1,2,20,13,26,28
"ENSSSCG00000006095",3,9,6,3,12,4,191,20,112,171
"ENSSSCG00000006096",5,12,10,19,36,15,144,63,225,254
"ENSSSCG00000006098",5,10,20,6,6,12,28,30,52,55
"ENSSSCG00000006099",6,19,14,14,56,39,0,0,0,1
"ENSSSCG00000006100",45,63,87,75,100,73,476,117,905,1009
"ENSSSCG00000006105",0,0,0,0,22,0,0,10,1,9
"ENSSSCG00000006106",0,0,0,0,0,0,1,3,1,1
"ENSSSCG00000006107",3,3,7,4,8,3,35,5,45,56
"ENSSSCG00000006108",0,1,6,1,3,6,17,0,24,9
"ENSSSCG00000006110",12,18,26,24,35,20,97,20,241,363
"ENSSSCG00000006115",0,2,3,1,2,2,0,0,1,0
"ENSSSCG00000006116",0,0,0,0,2,0,0,0,0,0
"ENSSSCG00000006120",3,9,9,16,15,13,155,12,162,166
"ENSSSCG00000006121",1,2,2,1,1,1,0,0,0,3
"ENSSSCG00000006126",3,2,3,3,2,1,27,3,75,69
"ENSSSCG00000006127",14,28,37,24,36,27,192,34,262,318
"ENSSSCG00000006132",1,0,1,1,1,1,2,0,10,5
"ENSSSCG00000006134",0,1,1,0,4,1,0,0,0,0
"ENSSSCG00000006135",7,21,20,25,46,22,231,52,390,388
"ENSSSCG00000006136",2,2,3,0,8,5,82,20,94,99
"ENSSSCG00000006137",19,18,47,40,34,34,181,44,338,303
"ENSSSCG00000006138",2,1,1,0,0,0,0,0,0,0
"ENSSSCG00000006140",0,2,0,1,0,1,14,4,2,38
"ENSSSCG00000006141",0,0,0,0,0,0,0,0,0,1
"ENSSSCG00000006143",0,0,0,0,1,0,0,0,3,4
"ENSSSCG00000006145",0,0,0,0,6,2,3,0,9,10
"ENSSSCG00000006146",6,17,27,22,20,16,201,20,213,187
"ENSSSCG00000006147",0,2,0,0,0,0,0,0,0,0
"ENSSSCG00000006148",0,0,0,1,0,2,0,0,0,0
"ENSSSCG00000006149",0,0,0,0,1,0,0,0,0,0
"ENSSSCG00000006151",0,3,12,5,9,8,14,4,51,82
"ENSSSCG00000006153",3,3,3,3,2,5,50,16,58,82
"ENSSSCG00000006155",9,39,18,51,36,41,91,27,172,196
"ENSSSCG00000006156",6,19,9,9,15,6,222,99,254,223
"ENSSSCG00000006157",4,4,3,6,14,7,49,50,85,94
"ENSSSCG00000006159",0,0,0,1,0,2,0,1,0,0
"ENSSSCG00000006160",0,0,1,1,0,1,0,0,0,0
"ENSSSCG00000006161",0,0,3,1,2,0,5,7,12,18
"ENSSSCG00000006162",3,0,7,6,8,0,7,16,31,72
"ENSSSCG00000006163",3,3,3,3,4,5,44,7,28,33
"ENSSSCG00000006164",0,1,0,2,0,0,0,0,0,0
"ENSSSCG00000006165",4,7,4,6,5,3,30,5,35,52
"ENSSSCG00000006166",5,15,18,8,32,19,317,251,500,538
"ENSSSCG00000006168",3,6,11,9,3,8,27,27,76,114
"ENSSSCG00000006169",0,4,1,1,3,3,0,0,1,1
"ENSSSCG00000006171",1,1,1,1,0,0,0,0,0,0
"ENSSSCG00000006172",0,0,0,1,0,1,1,0,0,0
"ENSSSCG00000006173",0,1,0,1,0,0,0,0,0,0
"ENSSSCG00000006174",0,3,0,0,1,0,0,0,1,2
"ENSSSCG00000006175",8,4,6,8,10,8,60,30,171,186
"ENSSSCG00000006176",4,8,11,9,20,16,139,29,180,178
"ENSSSCG00000006177",13,12,18,12,26,9,153,31,271,339
"ENSSSCG00000006179",4,10,10,8,11,10,46,5,62,49
"ENSSSCG00000006183",1,7,6,6,5,8,0,0,0,0
"ENSSSCG00000006184",6,8,8,9,24,17,86,14,148,239
"ENSSSCG00000006185",1,0,0,0,1,0,0,0,0,0
"ENSSSCG00000006186",1,1,1,3,0,2,0,0,0,0
"ENSSSCG00000006187",1,0,0,0,0,0,10,11,6,9
"ENSSSCG00000006192",1,3,0,1,8,9,37,6,84,89
"ENSSSCG00000006193",13,16,26,23,40,32,1065,301,1323,1250
"ENSSSCG00000006194",48,69,91,76,95,68,81,46,210,312
"ENSSSCG00000006195",1,1,0,0,0,0,0,0,0,0
"ENSSSCG00000006196",5,6,6,12,8,7,0,4,46,77
"ENSSSCG00000006197",35,51,59,40,53,70,101,58,335,599
"ENSSSCG00000006199",3,3,2,8,6,8,2,0,3,0
"ENSSSCG00000006200",1,6,3,6,3,6,2,4,0,2
"ENSSSCG00000006201",55,110,113,86,149,113,473,147,969,952
"ENSSSCG00000006202",11,24,38,19,39,15,99,41,126,128
"ENSSSCG00000006203",6,14,20,11,32,12,255,50,435,488
"ENSSSCG00000006204",0,1,0,0,1,0,0,0,0,0
"ENSSSCG00000006205",0,0,0,0,1,0,0,0,0,0
"ENSSSCG00000006206",7,7,10,13,10,8,21,18,128,123
"ENSSSCG00000006209",34,50,49,71,96,71,224,62,643,645
"ENSSSCG00000006213",1,2,2,0,3,1,3,3,9,7
"ENSSSCG00000006214",7,18,20,18,28,16,133,52,250,363
"ENSSSCG00000006215",0,0,0,0,0,1,0,0,0,0
"ENSSSCG00000006216",1,0,1,2,1,0,0,0,0,0
"ENSSSCG00000006218",12,29,51,34,51,50,189,85,415,531
"ENSSSCG00000006219",3,3,10,11,19,3,73,23,98,85
"ENSSSCG00000006220",3,3,12,4,19,5,136,38,228,265
"ENSSSCG00000006230",1,0,1,0,1,1,0,0,0,0
"ENSSSCG00000006231",28,155,202,192,216,170,277,178,1133,1209
"ENSSSCG00000006232",9,23,43,16,79,22,360,154,659,697
"ENSSSCG00000006233",6,10,12,13,17,7,25,83,53,122
"ENSSSCG00000006235",7,14,37,37,35,42,78,99,282,329
"ENSSSCG00000006236",28,95,94,73,97,72,309,210,485,624
"ENSSSCG00000006237",15,16,14,24,45,17,284,254,580,633
"ENSSSCG00000006238",0,2,3,0,0,10,1,0,19,14
"ENSSSCG00000006239",2,18,10,3,8,9,34,14,107,228
"ENSSSCG00000006240",2,0,0,1,0,2,0,5,7,12
"ENSSSCG00000006243",0,0,0,0,0,0,0,1,0,0
"ENSSSCG00000006247",1,1,1,1,1,2,0,0,11,14
"ENSSSCG00000006248",0,0,0,1,0,0,0,0,0,4
"ENSSSCG00000006250",197,225,219,194,312,163,1263,1617,3172,2016
"ENSSSCG00000006251",16,33,39,26,46,17,88,41,197,343
"ENSSSCG00000006252",3,4,8,8,9,17,90,8,156,163
"ENSSSCG00000006260",22,17,16,19,35,14,236,138,517,502
"ENSSSCG00000006261",24,42,57,42,77,47,566,172,850,851
"ENSSSCG00000006262",2,1,2,2,7,2,0,2,0,0
"ENSSSCG00000006263",18,20,22,23,41,27,204,130,316,450
"ENSSSCG00000006264",1,1,0,0,1,0,3,0,6,9
"ENSSSCG00000006266",2,1,0,3,2,0,0,2,1,1
"ENSSSCG00000006267",17,25,38,27,39,25,293,107,396,473
"ENSSSCG00000006273",58,51,62,51,138,98,633,488,689,833
"ENSSSCG00000006274",66,153,152,142,150,156,228,116,742,940
"ENSSSCG00000006277",5,11,11,6,19,10,14,15,59,65
"ENSSSCG00000006280",3,6,7,7,9,9,41,7,85,87
"ENSSSCG00000006281",2,1,2,1,3,2,0,0,0,0
"ENSSSCG00000006282",1,11,11,8,16,9,39,3,53,69
"ENSSSCG00000006283",11,33,45,33,49,48,178,314,286,326
"ENSSSCG00000006284",3,4,9,5,11,6,64,10,51,80
"ENSSSCG00000006285",0,1,2,0,3,3,19,1,48,73
"ENSSSCG00000006286",0,1,1,0,0,1,0,0,0,0
"ENSSSCG00000006287",77,78,128,90,127,94,1180,870,4955,3485
"ENSSSCG00000006288",11,34,26,18,42,17,68,69,68,371
"ENSSSCG00000006289",81,174,89,123,257,100,122,64,364,323
"ENSSSCG00000006290",1,3,7,1,10,0,11,2,29,30
"ENSSSCG00000006294",0,3,4,3,1,0,15,11,14,18
"ENSSSCG00000006296",6,2,9,3,54,2,60,33,174,168
"ENSSSCG00000006298",0,0,2,3,2,1,6,6,73,117
"ENSSSCG00000006299",0,0,0,1,0,1,0,0,0,0
"ENSSSCG00000006301",5,5,8,2,16,6,186,34,314,255
"ENSSSCG00000006302",0,2,3,0,3,1,4,0,3,2
"ENSSSCG00000006303",22,41,46,33,47,42,158,83,353,559
"ENSSSCG00000006304",15,12,15,25,24,22,202,101,288,356
"ENSSSCG00000006305",2,1,3,2,1,0,0,0,1,0
"ENSSSCG00000006306",0,0,0,0,11,1,2,0,6,6
"ENSSSCG00000006307",43,85,113,99,129,88,636,408,1254,1516
"ENSSSCG00000006308",22,31,29,33,54,31,211,87,500,476
"ENSSSCG00000006309",21,49,67,53,66,72,447,308,1126,1073
"ENSSSCG00000006310",7,16,15,19,18,8,5,5,27,42
"ENSSSCG00000006311",2,9,0,4,2,1,0,0,0,0
"ENSSSCG00000006312",0,0,1,1,0,0,0,0,0,0
"ENSSSCG00000006316",0,0,0,0,0,0,0,0,0,2
"ENSSSCG00000006318",2,3,14,7,11,9,84,11,161,181
"ENSSSCG00000006319",5,3,6,2,32,14,127,46,228,211
"ENSSSCG00000006320",0,0,0,0,1,0,0,0,0,0
"ENSSSCG00000006321",0,0,4,2,1,3,0,0,0,0
"ENSSSCG00000006324",39,47,70,61,122,60,430,368,1163,1213
"ENSSSCG00000006325",5,7,17,9,32,6,192,190,250,296
"ENSSSCG00000006329",0,0,0,0,1,2,0,0,0,0
"ENSSSCG00000006333",3,2,11,6,14,7,179,13,117,144
"ENSSSCG00000006335",0,1,0,0,7,0,2,0,0,4
"ENSSSCG00000006337",3,3,5,5,9,7,72,26,136,139
"ENSSSCG00000006338",0,0,1,0,0,1,6,0,1,1
"ENSSSCG00000006340",8,9,14,11,28,13,102,61,152,184
"ENSSSCG00000006342",19,42,32,30,44,61,324,49,535,684
"ENSSSCG00000006343",0,0,0,0,0,1,0,0,0,0
"ENSSSCG00000006344",3,8,4,3,6,3,0,0,7,10
"ENSSSCG00000006345",0,2,0,0,1,2,52,15,35,12
"ENSSSCG00000006346",29,51,44,42,68,34,245,116,630,653
"ENSSSCG00000006347",0,1,0,1,1,2,20,7,43,54
"ENSSSCG00000006348",0,0,1,0,0,0,11,0,3,0
