"Sample","Sequence_Name","CDS_Length","Total_Reads","Mean_Coverage","Median_Coverage","Max_Coverage","Coverage_Percentage_Above_1"
"H_RNAseq","CD82_ENSSSCG00000029521_ENSSSCT00000102451_0_870_2618",2618,8,0.0985485103132162,0,3,7.90679908326967
"W_RNAseq","CD82_ENSSSCG00000029521_ENSSSCT00000102451_0_870_2618",2618,32,1.65049656226127,0,11,39.9159663865546
"H_Riboseq","CD82_ENSSSCG00000029521_ENSSSCT00000102451_0_870_2618",2618,20,0.209320091673033,0,8,8.63254392666157
"W_Riboseq","CD82_ENSSSCG00000029521_ENSSSCT00000102451_0_870_2618",2618,11,0.108479755538579,0,9,3.05576776165011
