"Sample","Sequence_Name","CDS_Length","Total_Reads","Mean_Coverage","Median_Coverage","Max_Coverage","Coverage_Percentage_Above_1"
"H_RNAseq","CD82_ENSSSCG00000029521_ENSSSCT00000102451_0_870_2618",2618,6,0.0542398777692895,0,1,5.42398777692895
"W_RNAseq","CD82_ENSSSCG00000029521_ENSSSCT00000102451_0_870_2618",2618,12,0.623376623376623,0,7,16.6539343009931
"H_Riboseq","CD82_ENSSSCG00000029521_ENSSSCT00000102451_0_870_2618",2618,10,0.0928189457601222,0,2,7.52482811306341
"W_Riboseq","CD82_ENSSSCG00000029521_ENSSSCT00000102451_0_870_2618",2618,29,0.299847211611918,0,23,4.85103132161956
