name,H2,H3,H6,H7,H8,W1,W10,W6,W7,W9
ABCD4_ENSSSCG00000038231_ENSSSCT00000037529_85_1897_2356,9,9,13,8,26,8,44,31,117,137
ABCE1_ENSSSCG00000009043_ENSSSCT00000076692_132_1944_4349,11,10,21,14,32,14,295,78,449,396
ABCF1_ENSSSCG00000001346_ENSSSCT00000094263_54_2583_3144,52,59,77,53,122,36,527,511,1272,1330
ABCF2_ENSSSCG00000016441_ENSSSCT00000039929_398_2363_2366,9,19,27,20,52,29,260,304,517,561
ABCF3_ENSSSCG00000028856_ENSSSCT00000027528_199_2326_3469,18,21,34,26,45,24,133,162,357,501
ABCG1_ENSSSCG00000027745_ENSSSCT00000055448_107_2144_6387,10,11,10,7,29,11,16,10,58,186
ABCG2A_ENSSSCG00000009215_ENSSSCT00000036626_915_2880_2943,1,3,13,5,18,2,24,44,114,86
ABCG4_ENSSSCG00000015113_ENSSSCT00000016479_276_2214_3761,0,0,0,1,1,0,0,1,3,15
ABCG5_ENSSSCG00000035912_ENSSSCT00000061014_200_2156_5180,0,0,0,1,0,0,0,0,0,0
ABCG8_ENSSSCG00000008453_ENSSSCT00000009255_79_2137_4012,0,0,0,0,0,1,0,0,0,0
ABHD10_ENSSSCG00000034450_ENSSSCT00000051340_17_935_2756,3,2,3,0,5,2,49,19,74,95
ABHD11_ENSSSCG00000007715_ENSSSCT00000080982_123_564_567,2,5,3,0,7,1,52,47,69,73
ABHD12B_ENSSSCG00000005023_ENSSSCT00000023698_0_1107_1221,0,0,0,2,1,0,0,0,0,0
ABHD12_ENSSSCG00000040449_ENSSSCT00000030598_162_1350_1932,12,14,16,9,31,19,29,46,232,279
ABHD13_ENSSSCG00000009541_ENSSSCT00000060481_255_1266_5668,3,8,11,2,13,9,39,16,74,103
ABHD14A_ENSSSCG00000030229_ENSSSCT00000044844_137_956_1965,1,1,2,1,8,5,42,28,44,41
ABHD14B_ENSSSCG00000042259_ENSSSCT00000046662_76_703_814,0,2,2,1,0,2,36,18,54,56
ABHD16A_ENSSSCG00000034923_ENSSSCT00000047968_94_1768_2019,12,32,20,25,38,16,177,261,480,484
ABHD16B_ENSSSCG00000035915_ENSSSCT00000047845_0_1410_1413,1,0,0,1,1,0,0,0,0,1
ABHD17A_ENSSSCG00000013442_ENSSSCT00000014686_368_1298_1538,18,25,28,31,70,35,339,512,787,966
ABHD17B_ENSSSCG00000021802_ENSSSCT00000026305_646_1510_2089,7,20,25,24,27,20,61,16,128,201
ABHD18_ENSSSCG00000009074_ENSSSCT00000078515_249_1635_4321,1,8,15,8,16,7,32,5,51,64
ABHD1_ENSSSCG00000008554_ENSSSCT00000009359_109_1324_1391,0,0,0,3,1,1,17,2,7,22
ABHD2_ENSSSCG00000001835_ENSSSCT00000062921_193_1468_1640,29,28,34,50,43,46,91,67,300,269
ABHD3_ENSSSCG00000028010_ENSSSCT00000061687_24_1275_1956,5,3,5,0,14,8,55,4,68,73
ABHD4_ENSSSCG00000002051_ENSSSCT00000054768_2_1337_2498,0,1,0,0,27,1,5,8,9,18
ABHD5_ENSSSCG00000011297_ENSSSCT00000012367_0_1008_4222,1,3,2,3,2,3,20,12,42,48
ABHD6_ENSSSCG00000011470_ENSSSCT00000045837_129_1140_6995,6,18,9,14,19,15,76,46,140,173
ABHD8_ENSSSCG00000031877_ENSSSCT00000043193_212_1508_2038,0,4,5,1,9,1,11,4,46,55
ABI1_ENSSSCG00000024127_ENSSSCT00000012106_50_1493_3423,22,56,78,67,103,57,357,134,679,647
ABI2_ENSSSCG00000034630_ENSSSCT00000043165_230_1856_6397,0,4,0,2,5,1,6,13,0,4
ABI3BP_ENSSSCG00000011959_ENSSSCT00000070803_82_5086_6221,0,0,1,0,0,1,0,0,0,3
ABL1_ENSSSCG00000005706_ENSSSCT00000054304_428_3866_5819,12,25,32,18,46,19,125,89,306,315
ABL2_ENSSSCG00000024674_ENSSSCT00000054313_276_3798_7952,9,17,17,18,15,24,14,9,57,43
ABLIM1_ENSSSCG00000010651_ENSSSCT00000011650_237_2745_3409,18,51,54,38,63,60,289,279,840,775
ABLIM2_ENSSSCG00000008721_ENSSSCT00000107101_45_2196_3789,0,2,0,1,3,1,0,0,10,5
ABLIM3_ENSSSCG00000014430_ENSSSCT00000015774_226_2275_4184,2,6,7,3,24,5,9,7,35,38
ABRACL_ENSSSCG00000004145_ENSSSCT00000004581_358_595_987,5,6,15,12,36,23,415,164,752,588
ABRAXAS1_ENSSSCG00000009234_ENSSSCT00000010113_14_1241_4239,0,3,4,2,4,3,29,0,54,34
ABRAXAS2_ENSSSCG00000010737_ENSSSCT00000011749_1078_2401_4111,5,11,17,21,23,10,71,18,153,188
ABRA_ENSSSCG00000031728_ENSSSCT00000041495_49_1201_3025,0,1,2,1,2,2,0,0,0,0
ABR_ENSSSCG00000017804_ENSSSCT00000061110_786_3678_6150,71,83,75,89,100,120,505,499,1429,1551
ABT1_ENSSSCG00000038191_ENSSSCT00000052336_61_877_2324,5,5,7,3,20,3,86,48,133,277
ABTB1_ENSSSCG00000024827_ENSSSCT00000058290_48_1359_2398,13,24,20,15,22,30,42,67,96,215
ABTB2_ENSSSCG00000013303_ENSSSCT00000014529_718_3793_5191,1,4,5,11,15,10,17,10,11,59
ABTB3_ENSSSCG00000000162_ENSSSCT00000000171_590_3914_5905,26,34,63,75,81,41,112,57,474,213
ACAA1_ENSSSCG00000011250_ENSSSCT00000012317_2615_3911_4201,10,7,5,8,23,11,117,65,247,242
ACAA2_ENSSSCG00000004510_ENSSSCT00000053817_562_1753_2083,1,6,6,5,27,3,48,42,156,158
ACACA_ENSSSCG00000017694_ENSSSCT00000042467_168_7212_9325,11,41,28,28,124,30,117,82,261,234
ACACB_ENSSSCG00000061436_ENSSSCT00000095843_270_7626_8418,0,3,0,0,2,4,0,0,0,6
ACAD10_ENSSSCG00000009836_ENSSSCT00000010780_74_3182_3827,7,11,9,8,19,7,26,42,129,191
ACAD11_ENSSSCG00000011629_ENSSSCT00000085065_96_2436_2775,2,2,10,1,5,1,25,12,53,58
ACAD8_ENSSSCG00000062444_ENSSSCT00000102490_37_1282_1534,3,28,13,17,43,23,195,145,278,303
ACAD9_ENSSSCG00000023354_ENSSSCT00000023990_59_1922_6981,1,3,16,6,25,5,81,183,187,169
ACADL_ENSSSCG00000016156_ENSSSCT00000017589_196_1486_2563,3,9,20,14,26,13,173,28,188,304
ACADM_ENSSSCG00000003776_ENSSSCT00000061492_648_1911_2573,9,12,12,7,35,19,370,72,416,376
ACADSB_ENSSSCG00000010723_ENSSSCT00000011734_62_1355_2417,7,4,5,12,15,6,117,31,163,139
ACADS_ENSSSCG00000009916_ENSSSCT00000052413_38_1178_4272,8,13,16,17,34,14,171,160,423,435
ACADVL_ENSSSCG00000017947_ENSSSCT00000068392_268_2311_2474,22,38,43,32,107,42,436,556,948,1124
ACAN_ENSSSCG00000001832_ENSSSCT00000064359_398_7700_7929,0,2,0,0,1,3,0,0,1,2
ACAP1_ENSSSCG00000017943_ENSSSCT00000029870_199_2422_2496,61,116,116,118,147,117,920,1102,1990,2044
ACAP2_ENSSSCG00000031147_ENSSSCT00000055236_199_2635_6967,24,44,50,48,65,39,149,26,289,280
ACAP3_ENSSSCG00000003329_ENSSSCT00000080141_122_2987_3817,4,13,20,13,16,15,44,54,119,138
ACAT1_ENSSSCG00000026153_ENSSSCT00000028484_54_1332_1585,7,7,15,7,30,13,224,82,442,483
ACAT2_ENSSSCG00000004049_ENSSSCT00000044125_100_1441_3662,3,4,10,4,29,7,62,71,103,88
ACBD3_ENSSSCG00000024180_ENSSSCT00000029429_36_1620_3275,15,16,19,25,30,28,127,31,251,354
ACBD4_ENSSSCG00000017337_ENSSSCT00000018873_1903_2815_3417,6,14,8,9,8,8,19,35,73,109
ACBD5_ENSSSCG00000011064_ENSSSCT00000104076_329_1958_1961,5,12,13,16,28,18,48,3,81,75
ACBD6_ENSSSCG00000015534_ENSSSCT00000016923_296_1091_1406,6,11,13,15,32,11,108,113,261,302
ACBD7_ENSSSCG00000038184_ENSSSCT00000040198_40_304_1768,0,0,2,0,0,0,0,0,1,0
ACCSL_ENSSSCG00000057793_ENSSSCT00000014507_0_1707_1930,1,3,3,0,1,4,15,143,50,73
ACCS_ENSSSCG00000013282_ENSSSCT00000014506_0_1518_1628,1,0,0,1,0,0,3,1,2,5
ACD_ENSSSCG00000029590_ENSSSCT00000027655_78_1428_1544,8,24,14,12,20,11,113,162,251,274
