"","","H","W"
"CD93","ENSSSCG00000007116",0.540664133352976,10.4618563391124
"CCL25","ENSSSCG00000013593",0.509633177777476,22.2899827110894
"TNFSF13","ENSSSCG00000036521",0.395129829000475,31.3325287968569
"RELT","ENSSSCG00000014825",0.303632823022527,3.34727779917409
"CD82","ENSSSCG00000029521",1.36085818781095,21.5940076094008
"CD24","ENSSSCG00000056379",0.267829568710347,3.87976480233779
