gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,tag
SEC11A_ENSSSCG00000029183_ENSSSCT00000070866_129_666_4757,16.23140689,0.207477781,0.840314511,0.246904913,0.804981814,0.922308346,ns
TRAP1_ENSSSCG00000007952_ENSSSCT00000063217_55_2434_3056,56.23310563,1.026448718,0.558995431,1.836238118,0.066322447,0.309787826,ns
SSBP3_ENSSSCG00000039594_ENSSSCT00000049007_40_1204_2842,16.26502256,0.421652742,0.818097359,0.515406556,0.606268952,0.829662091,ns
NUDT19_ENSSSCG00000036294_ENSSSCT00000085837_141_1107_1110,4.198438596,0.252794417,1.441734199,0.175340515,0.860812078,NA,ns
ENSSSCT00000061995_ENSSSCG00000032231_ENSSSCT00000061995_466_1294_1340,1.348534893,-0.535406232,2.512641494,-0.213085008,0.831260658,NA,ns
ENSSSCT00000029959_ENSSSCG00000032046_ENSSSCT00000029959_408_3939_4031,38.08761115,-0.306782597,0.649718721,-0.472177555,0.636800059,0.842664463,ns
ZC3H12A_ENSSSCG00000037815_ENSSSCT00000066075_197_1943_2666,22.96524313,0.228050028,0.79396125,0.287230678,0.773935698,0.910153391,ns
MRC1_ENSSSCG00000011038_ENSSSCT00000069732_947_5369_6039,13.24777768,2.614830204,0.95922791,2.725973856,0.006411208,0.08646949,ns
PNPT1_ENSSSCG00000031882_ENSSSCT00000055752_14_2366_4794,9.434669719,-2.876458651,1.369083528,-2.101010341,0.035640059,NA,ns
ENSSSCT00000047633_ENSSSCG00000013760_ENSSSCT00000047633_95_824_1320,4.503917526,1.684040418,1.437021051,1.171896833,0.241238479,NA,ns
B3GAT3_ENSSSCG00000020809_ENSSSCT00000023287_150_1167_1569,7.959693099,-1.034342052,1.194477689,-0.865936686,0.386524883,NA,ns
UBE3D_ENSSSCG00000026346_ENSSSCT00000025129_191_1355_1790,4.095927996,-1.221411148,1.609303271,-0.758968909,0.447871156,NA,ns
CADM4_ENSSSCG00000003061_ENSSSCT00000076347_0_1215_2104,6.897123135,0.8602273,1.157136658,0.743410292,0.457233315,NA,ns
TRAIP_ENSSSCG00000026977_ENSSSCT00000072035_127_1540_1543,7.869695826,-0.833058648,1.151369747,-0.72353703,0.469350012,NA,ns
ENSSSCT00000057037_ENSSSCG00000029347_ENSSSCT00000057037_163_2002_4404,0.858213655,-1.948836763,3.09844747,-0.62897202,0.529367374,NA,ns
FEZ2_ENSSSCG00000008503_ENSSSCT00000023347_7_1135_2996,8.090805141,-1.720804323,1.246851338,-1.380119884,0.167549736,NA,ns
CDCA5_ENSSSCG00000013008_ENSSSCT00000027221_65_821_5124,5.994213821,-0.36586858,1.294642091,-0.282602105,0.777481867,NA,ns
PGM5_ENSSSCG00000005243_ENSSSCT00000005777_467_2168_2262,1.495102678,-2.719666128,2.902090013,-0.937140515,0.348686284,NA,ns
SPRYD4_ENSSSCG00000028066_ENSSSCT00000028535_21_642_2684,2.521288503,-1.797936425,2.133827599,-0.842587482,0.399459194,NA,ns
FBXO5_ENSSSCG00000004077_ENSSSCT00000071576_82_1408_6128,3.127583529,-2.157869605,1.983385418,-1.08797291,0.276607067,NA,ns
HAPSTR1_ENSSSCG00000028454_ENSSSCT00000029316_428_1253_4118,22.9267194,0.13623647,0.715707464,0.190352172,0.849033173,0.938294646,ns
SIPA1L3_ENSSSCG00000002950_ENSSSCT00000003272_0_5250_7298,57.80611541,1.065644094,0.514922654,2.069522645,0.038497069,0.236058502,ns
COG5_ENSSSCG00000037556_ENSSSCT00000071260_11_2528_3050,55.71455392,-1.227773935,0.565529451,-2.171016791,0.029929903,0.203074333,ns
FCGRT_ENSSSCG00000003187_ENSSSCT00000040684_106_1402_1405,57.47365377,1.731278592,0.553610978,3.127247581,0.001764513,0.038272806,up
ENSSSCT00000092335_ENSSSCG00000052263_ENSSSCT00000092335_241_502_1607,5.414076731,0.760307293,1.323717415,0.574372811,0.565715547,NA,ns
ZBTB20_ENSSSCG00000026113_ENSSSCT00000049300_199_2452_3286,6.994800934,0.58690819,1.131448084,0.51872304,0.603953892,NA,ns
SIK2_ENSSSCG00000032941_ENSSSCT00000087535_47_2894_4424,15.34995878,-0.716644098,0.854069407,-0.839093512,0.401416837,0.700100832,ns
CNPPD1_ENSSSCG00000016206_ENSSSCT00000017647_642_1875_2530,25.89691583,-1.041520879,0.768166686,-1.355852705,0.175146038,0.494234912,ns
SLC4A1AP_ENSSSCG00000008549_ENSSSCT00000009354_23_2222_2225,37.70486009,0.438801029,0.584527145,0.750694013,0.452836827,0.734106785,ns
PROSER1_ENSSSCG00000040697_ENSSSCT00000077873_610_3376_3454,11.67569882,0.062714454,0.913504188,0.068652618,0.945266135,0.979121889,ns
