Transcript,TE_H,TE_W,log2_fold_change,regulation,ensembl_gene_id,external_gene_name,gene_biotype,description
ENSSSCT00000093105,3.2961675710799,2.0727123452511,-0.669269677814791,down,ENSSSCG00000028694,ATP6V1B2,protein_coding,ATPase H+ transporting V1 subunit B2 [Source:VGNC Symbol;Acc:VGNC:85671]
ENSSSCT00000093157,0.870065299081742,3.84575501867709,2.14407127787735,up,ENSSSCG00000015326,COL1A2,protein_coding,collagen type I alpha 2 chain [Source:NCBI gene (formerly Entrezgene);Acc:100626716]
ENSSSCT00000093173,4.82590756686004,1.43649663823861,-1.74824566651596,down,ENSSSCG00000012452,,protein_coding,SH3 domain binding glutamate rich protein like [Source:VGNC Symbol;Acc:VGNC:92815]
ENSSSCT00000093211,2.21283835701588,0.804008913115747,-1.46061466918754,down,ENSSSCG00000061858,,protein_coding,
ENSSSCT00000093227,2.08958215526079,8.50577017650068,2.02522739264339,up,ENSSSCG00000061876,,protein_coding,
ENSSSCT00000093443,1.83142939127773,0.742585867596771,-1.30234031646825,down,ENSSSCG00000056284,XAF1,protein_coding,XIAP associated factor 1 [Source:UniProtKB Gene Name;Acc:A0A287AFS6]
ENSSSCT00000093517,4.16163072203642,79.7686037644255,4.26060016599505,up,ENSSSCG00000056961,NDUFA13,protein_coding,NADH:ubiquinone oxidoreductase subunit A13 [Source:NCBI gene (formerly Entrezgene);Acc:100622110]
ENSSSCT00000093565,1.37306872057299,11.5868537149263,3.07701313355636,up,ENSSSCG00000056684,DERL1,protein_coding,derlin 1 [Source:NCBI gene (formerly Entrezgene);Acc:100626802]
ENSSSCT00000093670,2.0042424714124,1.03132887776956,-0.958552591687153,down,ENSSSCG00000027176,SACM1L,protein_coding,SAC1 like phosphatidylinositide phosphatase [Source:VGNC Symbol;Acc:VGNC:92557]
ENSSSCT00000093712,10.7454244424936,6.08279876042682,-0.820915289230817,down,ENSSSCG00000016566,NRF1,protein_coding,nuclear respiratory factor 1 [Source:VGNC Symbol;Acc:VGNC:90895]
