,H6,H7,W10,W6
ENSSSCT00000042467,16.06730653,11.17615599,9.766907615,12.87647285
ENSSSCT00000095843,0.149376913,0.359735346,0,0
ENSSSCT00000010780,4.94962421,8.088489519,4.743387841,3.806524877
ENSSSCT00000085065,5.634956793,5.37158663,4.200128037,5.055845862
ENSSSCT00000102490,50.30726486,44.10355338,67.10084068,19.00510734
ENSSSCT00000023990,14.15544702,13.84894188,2.637761569,8.467117064
ENSSSCT00000017589,63.88468457,52.30886564,22.85651071,33.62725387
ENSSSCT00000061492,57.42034356,45.57017986,35.01769456,24.97900093
ENSSSCT00000011734,23.79494516,37.34987699,15.20231958,18.29958131
ENSSSCT00000052413,44.33821266,53.38851199,17.24263089,44.97041846
ENSSSCT00000068392,40.33834708,45.33404899,24.05359669,46.32669336
ENSSSCT00000064359,0.150481591,0.090598918,0.672986826,0
ENSSSCT00000029870,140.8739198,184.5087928,110.5296852,207.5557775
ENSSSCT00000055236,43.30311624,57.30203056,18.15572587,38.85280564
ENSSSCT00000080141,8.054152902,4.387264472,3.430471067,15.14106719
ENSSSCT00000028484,54.16701424,67.81180156,30.76150111,58.62882291
ENSSSCT00000044125,2.458202628,14.79985013,3.66454124,2.940760457
ENSSSCT00000029429,20.11722264,54.29414715,18.6142038,27.38583175
ENSSSCT00000018873,8.433899147,8.704648693,16.16496646,4.324078698
ENSSSCT00000104076,7.41987865,6.903871155,3.016666546,26.62931706
ENSSSCT00000016923,19.35022899,37.44641325,12.36264101,19.84181018
ENSSSCT00000014507,3.86227267,1.550212773,0,0
ENSSSCT00000014506,1.447716172,0,0,0
ENSSSCT00000027655,39.06903376,39.20315856,32.76099869,23.3692431
ENSSSCT00000034032,1.819986045,1.095740457,6.104533917,3.26588801
ENSSSCT00000060646,6.708281896,2.423272164,36.00109746,9.630182595
ENSSSCT00000079483,14.70435805,5.633665578,5.978284432,4.797517971
ENSSSCT00000018828,0.559621377,0.505388312,3.754125136,1.004216902
ENSSSCT00000090230,0,0.288258519,0,0
ENSSSCT00000017775,10.11801634,3.654990612,13.57499946,3.631270509
ENSSSCT00000012727,1.046491976,0,0,0
ENSSSCT00000018965,160.1225333,96.98878774,79.72809415,101.2064012
ENSSSCT00000050582,10.30011787,7.44154444,1.842575854,5.914600334
ENSSSCT00000105482,124.9082089,81.70465979,100.8030729,117.9697368
ENSSSCT00000050621,6.282541878,9.077918363,0,6.764253469
ENSSSCT00000051683,5.195350234,4.691867381,0,0
ENSSSCT00000071335,0.874157975,0.526295386,0,0
ENSSSCT00000056129,29.49204659,26.92035076,29.78272608,58.04373691
ENSSSCT00000025270,5.777163904,16.69535144,20.6693998,20.73375275
ENSSSCT00000101133,44.66734043,50.36215075,7.264079531,17.48806994
ENSSSCT00000100542,86.99657196,71.39304405,47.08464259,39.77367395
ENSSSCT00000058844,1.075689256,0,0,0
ENSSSCT00000086938,15.59675541,13.3279969,20.25061732,32.50186626
ENSSSCT00000057327,0,1.520812185,0,0
ENSSSCT00000009475,27.07229242,30.68073279,7.121956236,17.14591205
ENSSSCT00000097655,16.07198993,14.76908831,15.13210101,18.21505669
ENSSSCT00000012724,0,0.533941324,0,0
ENSSSCT00000032085,2.585450764,1.037730668,0,0
ENSSSCT00000014867,10.77271152,25.29468503,105.9914663,65.72599621
ENSSSCT00000007336,21.39440371,18.54822338,22.96331684,6.142616468
ENSSSCT00000092092,3.39770122,1.636495487,0,9.755249901
ENSSSCT00000060173,7.962438946,1.597954833,11.86992706,6.350337798
ENSSSCT00000019121,86.00960408,64.11219421,107.2844206,88.1946275
ENSSSCT00000065079,14.91838982,17.96352596,23.0063193,31.38600943
ENSSSCT00000058100,44.65575357,79.5122428,25.49494061,78.42790728
ENSSSCT00000101017,16.07779167,19.96457149,40.44567739,28.8509174
ENSSSCT00000051623,70.57565434,114.7560812,39.16575089,46.22081309
ENSSSCT00000026254,75.6140249,84.59100282,64.7545362,111.6283391
ENSSSCT00000076510,0.507302204,1.22170508,0,0
ENSSSCT00000027749,0,0.380859701,0,0
ENSSSCT00000044534,91.17728807,60.22675853,67.5724724,76.66474664
ENSSSCT00000048008,49.24668121,40.76799052,29.82443858,33.13915775
ENSSSCT00000059893,6.113799858,3.011623524,0,3.989438313
ENSSSCT00000040776,0.971544275,2.339711055,0,3.48679025
ENSSSCT00000049256,10.83062932,24.30437753,17.61344015,21.20193426
ENSSSCT00000042531,10080.78744,6688.450882,6857.969058,5752.339188
ENSSSCT00000005302,251.6299671,94.17336995,8.689920076,31.38111225
ENSSSCT00000025260,1760.059971,1390.144003,1764.725796,1994.564898
ENSSSCT00000064546,28.10721853,11.10521128,11.7845319,15.76162979
ENSSSCT00000012873,32.44369062,31.86970058,57.27447323,3.064149007
ENSSSCT00000014860,2.641385997,4.240726286,0,0
ENSSSCT00000065394,7.005205849,10.84513608,40.27991642,3.591584492
ENSSSCT00000027004,237.7699925,234.8083037,201.3245729,196.8108043
ENSSSCT00000069068,0,0.239693225,3.560978118,2.857652009
ENSSSCT00000081024,1.177724088,0.945413792,0,0
ENSSSCT00000003289,219.8418298,188.373698,165.0339698,193.0216823
ENSSSCT00000030515,70.26804633,48.12258222,0,25.21860766
ENSSSCT00000011578,47.2270734,39.17507607,32.85486974,67.79758921
ENSSSCT00000088139,10.74398428,23.52189514,13.10439947,7.010772929
ENSSSCT00000064075,791.4743148,683.386743,518.9861178,419.7353223
ENSSSCT00000017110,165.1815766,329.6956809,148.548646,144.9838152
ENSSSCT00000008041,9.156804788,20.21412863,13.65041612,17.52693232
ENSSSCT00000000963,12.0240871,20.60393277,8.272979466,3.319494758
ENSSSCT00000041214,25.23991063,34.63259801,10.50032009,14.7462171
ENSSSCT00000003726,1.943088549,3.509566582,0,0
ENSSSCT00000000252,8.900071943,2.885279193,9.185326734,0
ENSSSCT00000060330,4.317550391,2.166186315,0,2.582553879
ENSSSCT00000017067,2.14194264,2.149295974,0,10.24966802
ENSSSCT00000012324,0,0.420835433,0,0
ENSSSCT00000095024,58.86517364,14.00112806,48.75148614,20.86539562
ENSSSCT00000088369,5.399590047,4.334501561,0,12.91911473
ENSSSCT00000030730,2.884033004,3.472720739,0,0
ENSSSCT00000041303,59.84368483,33.8590272,299.8792203,93.15495526
ENSSSCT00000002964,0.641457428,0.386195739,0,0
ENSSSCT00000005202,14.44453713,8.696475314,13.8426755,22.21723816
ENSSSCT00000088907,118.9894954,107.310785,238.6997899,100.1706359
ENSSSCT00000018885,0,0.853617162,0,1.696154741
ENSSSCT00000074893,1.60645698,0.483591594,0,0
ENSSSCT00000026700,16.93028168,12.67915007,3.693460957,7.409920655
ENSSSCT00000072504,85.38574656,93.82539381,52.16719536,51.9109779
ENSSSCT00000064509,62.0866508,100.8551407,110.0182792,89.69005879
ENSSSCT00000002584,0,0.30755616,0,0
ENSSSCT00000056370,0.377600197,0,0,0
ENSSSCT00000075796,4.607197378,2.219046711,0,3.306968363
ENSSSCT00000106789,0,0.295204507,0,0
ENSSSCT00000040912,1.390907056,0,0,0
ENSSSCT00000007677,0,0.296793764,0,0
ENSSSCT00000033889,14.0367786,19.27879878,43.15820186,55.09963754
ENSSSCT00000017216,47.85241086,27.19449873,66.00201201,40.12576081
ENSSSCT00000055181,5.61029615,2.412667034,21.50612605,20.13487849
ENSSSCT00000063527,14.29192762,21.41143472,35.67440873,51.29251973
ENSSSCT00000024262,1.376100907,0.138082509,2.051408809,0.823118299
ENSSSCT00000022734,0.250015148,1.053668511,0,0
ENSSSCT00000011243,1.497433326,0.540926656,2.678740694,0
ENSSSCT00000016619,0.771099351,0.928495861,1.724263089,0
ENSSSCT00000018627,0,0,1.314646817,0
ENSSSCT00000041094,0,0.196715225,0,0
ENSSSCT00000015580,0.910369987,4.567476531,4.071375147,4.356321207
ENSSSCT00000022836,1.840563776,1.662194223,4.115703353,3.30281388
ENSSSCT00000050515,0,0.183611796,0,0
ENSSSCT00000013159,5.913975105,13.05541139,1.763239972,4.244951316
ENSSSCT00000089457,5.246513039,10.85808163,0,2.353661458
ENSSSCT00000001974,0.461590664,0.694762971,0,0
ENSSSCT00000042241,0.804993828,0.242327216,0,2.889054778
ENSSSCT00000055973,0.903037948,0.761156,0,2.592741468
ENSSSCT00000037462,0,0.12183302,0,0
ENSSSCT00000028900,0,0.23018556,1.709864232,0
ENSSSCT00000042317,0.446129344,0,0.997594357,0.800560246
ENSSSCT00000037797,2.759112554,3.945233118,9.254519403,4.951110826
ENSSSCT00000008279,12.76551874,14.78001119,8.783109567,3.524182102
ENSSSCT00000070609,9.513563416,2.291093682,0,10.2430124
ENSSSCT00000056371,1.043510517,6.910813208,2.333404465,1.872535505
ENSSSCT00000079058,1.328677841,0,0,0
ENSSSCT00000087317,37.5985141,77.53019863,32.22852736,66.34446153
ENSSSCT00000003000,1.47393236,3.993279481,0,2.644909304
ENSSSCT00000048579,17.25889908,25.39995221,0,13.76460654
ENSSSCT00000047042,2.087021034,0,0,0
ENSSSCT00000081342,7.082611438,14.61996245,9.049999637,25.41889356
ENSSSCT00000048666,6.755019926,7.681971388,13.42663881,10.77475348
ENSSSCT00000017960,9.946688907,9.863414494,20.93354549,14.69910458
ENSSSCT00000006487,19.54292244,19.73652991,25.37426749,40.72523001
ENSSSCT00000006910,0.682494767,0.547870228,0,0
ENSSSCT00000018207,0,0,1.452171928,0
ENSSSCT00000009387,4.994620793,1.670589143,3.72284076,7.966787419
ENSSSCT00000002224,3.060770403,1.023759363,9.125626375,1.220538463
ENSSSCT00000029344,0,0.350306222,0,1.044098431
ENSSSCT00000000184,4.090668806,4.736206334,5.629037575,4.517250599
ENSSSCT00000063912,88.93726986,88.2888557,104.7501812,96.2438128
ENSSSCT00000061510,0.293017753,0.352828427,0,0
ENSSSCT00000045205,2.124856804,2.238759055,2.375706939,4.766207122
ENSSSCT00000107624,168.9394992,225.6460871,139.6786766,176.6280001
ENSSSCT00000099380,0,0.382843345,0,0
ENSSSCT00000054427,417.1145071,449.1565847,211.1367479,175.0210664
ENSSSCT00000004553,2.310865562,2.365174787,0,0.82935011
ENSSSCT00000037721,0.278111003,0.167439459,0,0
ENSSSCT00000039458,0.231817843,0.279136414,0,0
ENSSSCT00000003999,0.23630464,0.569078108,0,0
ENSSSCT00000066143,0,0.144886838,0,0
ENSSSCT00000010684,0.809441307,0,0,0
ENSSSCT00000006147,0,0.242860977,0,0
ENSSSCT00000029894,4.024969138,5.192726065,10.28602784,2.063610556
ENSSSCT00000036462,263.2028429,221.3167443,462.9271553,273.0645253
ENSSSCT00000001930,0,0.237883244,0,0
ENSSSCT00000028489,0.367006204,0.662879059,1.6413326,1.317154233
ENSSSCT00000100055,0.265222441,0,0,0
ENSSSCT00000040726,56.92067841,174.0302377,332.0371488,222.0472845
ENSSSCT00000068039,0,0,1.604358408,0
ENSSSCT00000003114,5.993544952,1.202824183,8.934817824,11.95018113
ENSSSCT00000057757,32.0767907,32.33661755,43.36995753,34.80398985
ENSSSCT00000064165,0.293722688,0.176838626,0,1.054145889
ENSSSCT00000061723,1.838254412,0.276684777,2.055269679,3.298669822
ENSSSCT00000053432,3.978516676,4.341490319,5.560250965,7.139279968
ENSSSCT00000063942,3.012519738,3.627434137,1.122720997,5.405839304
ENSSSCT00000107743,0.477538711,0.143753433,0,0.856923027
ENSSSCT00000045697,0.175726303,0.775850131,0,0.210222281
ENSSSCT00000050964,116.7959794,79.88143597,62.68048218,60.36060876
ENSSSCT00000073069,0,0.450956579,6.699590733,5.376359608
ENSSSCT00000026549,20.4621336,23.4069138,45.75558476,58.74949382
ENSSSCT00000069245,13.60161984,21.05739949,8.689920076,45.32827325
