Transcript,TE_H,TE_W,log2_fold_change,regulation
ENSSSCT00000000003,1.78404838765466,1.23612856082442,-0.52932594976432,down
ENSSSCT00000000008,0.210714463303915,0.118775131670395,-0.827056537128337,down
ENSSSCT00000000023,2.31493932372195,0.740905599130914,-1.64361273835841,down
ENSSSCT00000000039,2.26887989496492,1.322983243868,-0.778185451374802,down
ENSSSCT00000000048,1.17174310635461,0.330987793632991,-1.823806388571,down
ENSSSCT00000000049,3.90442173679812,1.91432602467672,-1.02827234129061,down
ENSSSCT00000000077,1.94121020828241,0.935482038824602,-1.05317449274224,down
ENSSSCT00000000122,3.45730504979933,1.75531913132005,-0.977914555023866,down
ENSSSCT00000000142,0.228451399271214,1.40845635732857,2.62415567657468,up
ENSSSCT00000000164,0.894630428793506,0.0728064690905257,-3.61915327976827,down
ENSSSCT00000000167,3.5908937552512,0.514077890350762,-2.80428409764294,down
ENSSSCT00000000170,1.66301834603129,1.15899512351031,-0.52092958799312,down
ENSSSCT00000000171,2.58123049186333,1.11636289956551,-1.20925288835166,down
ENSSSCT00000000184,1.62000301352206,0.943102099085781,-0.780510627929392,down
ENSSSCT00000000195,2.25666256903699,1.1025776585952,-1.033310439774,down
ENSSSCT00000000233,5.41017096244325,0.341034369200047,-3.98768513874899,down
ENSSSCT00000000284,3.03546995397179,0.782847680632696,-1.95511635953308,down
ENSSSCT00000000286,1.29002311309216,0.378549951731275,-1.7688413249992,down
ENSSSCT00000000388,0.302394338746387,0.144645557010205,-1.06390912094153,down
ENSSSCT00000000389,0.610877635914137,0.422055786916814,-0.533449719119298,down
ENSSSCT00000000428,4.22481939386872,1.41722014508023,-1.5758257912647,down
ENSSSCT00000000439,9.20344505093817,3.84970847753255,-1.25742479397322,down
ENSSSCT00000000472,4.59708930972121,1.5535399434053,-1.56516135892789,down
ENSSSCT00000000492,0.64808736031848,6.76029977982762,3.38282702054143,up
ENSSSCT00000000530,0.561079128967002,3.05427756879799,2.44455502483453,up
ENSSSCT00000000564,1.60144806197079,1.00739658896846,-0.668745258336098,down
ENSSSCT00000000620,0.258420276415287,1.12217575719079,2.11850747345884,up
ENSSSCT00000000644,1.67452248388989,0.688029732707944,-1.2832069308956,down
ENSSSCT00000000682,1.18366769454245,5.05927026675065,2.09566519767609,up
ENSSSCT00000000689,4.41609525534966,1.59999658250848,-1.46470246783036,down
ENSSSCT00000000698,0.81012642040731,0.567221328002824,-0.514235278291759,down
ENSSSCT00000000750,2.98946943228294,17.9329045660082,2.58464781397216,up
ENSSSCT00000000755,1.46388849227338,0.932969474873579,-0.649903879926016,down
ENSSSCT00000000757,4.26784576066023,2.19499295990961,-0.959291725757095,down
ENSSSCT00000000758,2.32350147665425,1.51593444710184,-0.616093192704855,down
ENSSSCT00000000767,1.75068417691474,0.892175980042211,-0.97251863311544,down
ENSSSCT00000000771,0.158944539648522,1.48958124493783,3.22831145303792,up
ENSSSCT00000000821,1.54003724825932,0.465744222263415,-1.72535546802227,down
ENSSSCT00000000849,4.2446834080558,2.9197663709391,-0.539804019096878,down
ENSSSCT00000000879,0.760251262246452,0.252077945391057,-1.59260640600969,down
ENSSSCT00000000913,2.47237529592502,0.654746278654641,-1.91688989481537,down
ENSSSCT00000000914,6.20578410553489,0.747817138407704,-3.05285606724044,down
ENSSSCT00000000915,1.71157711176153,0.932969039863143,-0.875425179786714,down
ENSSSCT00000000923,2.15431836668667,0.784745137313249,-1.45693537886421,down
ENSSSCT00000000924,1.93631901421187,0.684904915910314,-1.49934104002705,down
ENSSSCT00000000963,2.83049338983651,0.566915283072384,-2.31984848708027,down
ENSSSCT00000000986,2.94734849796088,0.305142150825074,-3.2718642709695,down
ENSSSCT00000000991,1.04319055854631,4.21391374488231,2.0141580662059,up
ENSSSCT00000000995,1.24627831590502,0.80456290857181,-0.63134914912696,down
ENSSSCT00000001004,1.4952981616841,0.541172159245511,-1.46627365927441,down
ENSSSCT00000001010,8.72510062977798,0.296839574437977,-4.87741642159192,down
ENSSSCT00000001070,0.4413839763139,2.64623392154615,2.58383443736029,up
ENSSSCT00000001075,2.75445189892029,0.889129522349739,-1.63129976780308,down
ENSSSCT00000001092,2.69158126071041,0.637702393342767,-2.0774987811234,down
ENSSSCT00000001101,0.8514690207759,4.3373401290403,2.34878463604826,up
ENSSSCT00000001102,1.27032506541077,0.761251740110534,-0.738752191739335,down
ENSSSCT00000001118,0.219326422109757,2.82148672380413,3.68530403303909,up
ENSSSCT00000001150,0.69791965038482,0.309569731370025,-1.17279653561352,down
ENSSSCT00000001151,0.66910649781832,3.41605524886542,2.35202354858199,up
ENSSSCT00000001158,8.47620046377198,4.41827896050939,-0.939933197937697,down
ENSSSCT00000001168,4.06515850219772,0.976140154843272,-2.05815139379575,down
ENSSSCT00000001169,0.505974382191734,2.52999166708584,2.32199638588697,up
ENSSSCT00000001193,3.61278369502509,1.64985298588487,-1.13077340477328,down
ENSSSCT00000001300,3.25028916909129,0.834786044241258,-1.96108968920143,down
ENSSSCT00000001304,15.5127977239511,2.90777763230025,-2.41547004827701,down
ENSSSCT00000001329,1.29564074877115,16.757697732644,3.69308630424232,up
ENSSSCT00000001349,1.49614196382429,0.775407703035474,-0.948220101890788,down
ENSSSCT00000001501,1.86355510189802,0.362598915302997,-2.36161096308806,down
ENSSSCT00000001531,0.647897062604558,0.228673435219576,-1.50247583807773,down
ENSSSCT00000001542,2.3571409989502,0.590696371586173,-1.99654940479273,down
ENSSSCT00000001563,0.966409360599195,7.19720951769062,2.89673132347894,up
ENSSSCT00000001585,3.73742514650845,1.19376862488056,-1.64652144327985,down
ENSSSCT00000001609,1.63339808432198,15.9051750193867,3.2835479013635,up
ENSSSCT00000001610,1.94339020817247,18.3660471235159,3.24039364232615,up
ENSSSCT00000001625,0.996090163971436,0.589475565989155,-0.756844323776412,down
ENSSSCT00000001642,2.12434199435994,0.928798640202928,-1.1935782768094,down
ENSSSCT00000001648,2.53283417248415,0.284936794062362,-3.15203879037141,down
ENSSSCT00000001675,0.93412412701156,0.158422164802966,-2.55984007229432,down
ENSSSCT00000001678,3.5350640406256,1.35589342276344,-1.382492568062,down
ENSSSCT00000001680,1.02875041118752,4.45407446681544,2.11423267118202,up
ENSSSCT00000001682,1.17865952007675,0.802208124964045,-0.555098543198534,down
ENSSSCT00000001683,2.39149209003754,1.30736205819025,-0.871252286058143,down
ENSSSCT00000001703,0.753746383067452,0.214552751118059,-1.81274677383737,down
ENSSSCT00000001706,1.42384850667517,0.411089824051134,-1.79227009035331,down
ENSSSCT00000001732,4.20303478105976,2.58895501160049,-0.699061499493155,down
ENSSSCT00000001758,5.09498680719266,1.91952699278183,-1.40832756292354,down
ENSSSCT00000001776,0.774526848398813,0.297856579986115,-1.37869741964934,down
ENSSSCT00000001793,0.871353451805464,0.50078470442995,-0.799067547313382,down
ENSSSCT00000001799,1.67005347958435,8.73558770836516,2.3870104649028,up
ENSSSCT00000001800,3.36705830176231,1.99022152647447,-0.758559679731756,down
ENSSSCT00000001822,2.62174441426713,0.238910139935309,-3.45598705680853,down
ENSSSCT00000001846,1.58542212444056,0.528035820105842,-1.58615930893435,down
ENSSSCT00000001852,0.172759382792562,1.28099684490194,2.89043094977643,up
ENSSSCT00000001859,2.21291344689476,0.868964068828639,-1.34857859572438,down
ENSSSCT00000001902,1.39756698103934,0.742872350331842,-0.911731193441934,down
ENSSSCT00000001903,0.706413221012285,0.241973301739878,-1.54566446856171,down
ENSSSCT00000001908,4.67310933329874,2.15711031982101,-1.11528282998449,down
ENSSSCT00000001963,3.94321364051344,0.904698459021237,-2.12386295753089,down
ENSSSCT00000001981,4.37738246450517,1.74461130569273,-1.3271627979106,down
ENSSSCT00000002008,3.09007147322745,1.29219776096501,-1.25781332764382,down
ENSSSCT00000002017,1.56670080494356,0.555403529169174,-1.49612144307962,down
ENSSSCT00000002033,1.84230123293384,0.824846660929309,-1.15931112216452,down
ENSSSCT00000002037,3.55706292018869,1.19979363574109,-1.5679002102543,down
ENSSSCT00000002059,1.05364567683004,0.645601144485877,-0.706674753398737,down
ENSSSCT00000002064,1.60318874085069,1.08624327205597,-0.561597040332705,down
ENSSSCT00000002091,2.56824954844094,1.67781896277695,-0.614198334346227,down
ENSSSCT00000002094,4.21349054987774,1.22299257951534,-1.78460023910988,down
ENSSSCT00000002101,2.09639252785569,0.702151802030338,-1.57805399844028,down
ENSSSCT00000002110,2.72264713697041,0.673200529729623,-2.01590179998931,down
ENSSSCT00000002132,2.86403882875388,1.30096519443647,-1.13846868662662,down
ENSSSCT00000002136,0.91124211756384,0.200743420245199,-2.18248172848725,down
ENSSSCT00000002142,6.23200945024691,3.7932329484306,-0.716269448575041,down
ENSSSCT00000002182,1.07950688033818,0.0930265076563869,-3.53658676139298,down
ENSSSCT00000002183,3.20302924233981,0.68997622245315,-2.2148184188165,down
ENSSSCT00000002184,1.43319991396348,0.346300847918684,-2.04914203695945,down
ENSSSCT00000002187,1.5209982958029,0.547550963389452,-1.47395338146392,down
ENSSSCT00000002193,1.36629227040362,0.29573050630917,-2.20791115217274,down
ENSSSCT00000002196,4.52079978451729,1.53286633098659,-1.56034612895037,down
ENSSSCT00000002203,1.96667243755466,0.815602302294637,-1.26981893418456,down
ENSSSCT00000002204,2.20063084232387,0.787687722918238,-1.48222145738558,down
ENSSSCT00000002226,0.283820097177037,1.86059488103296,2.71271530783747,up
ENSSSCT00000002232,0.903615208203141,0.592271989018233,-0.609448695310566,down
ENSSSCT00000002242,11.6358511755684,0.568838321025025,-4.35441428063301,down
ENSSSCT00000002244,2.26362895707476,0.628380222851662,-1.84892781787121,down
ENSSSCT00000002254,1.90431437136155,1.09839726690269,-0.793871723014461,down
ENSSSCT00000002255,2.26686870205378,9.61328697755859,2.08432896998844,up
ENSSSCT00000002277,4.53637703251745,1.26977061519456,-1.83697265533999,down
ENSSSCT00000002278,0.155226537712378,0.765829609402832,2.30264821697428,up
ENSSSCT00000002282,2.51089671647438,0.711694251315297,-1.81887319802953,down
ENSSSCT00000002285,1.58103645256649,0.600223840729335,-1.39729810238456,down
ENSSSCT00000002349,1.45202586627091,0.9728010097132,-0.577850522283007,down
ENSSSCT00000002396,2.58746186185778,0.917065600752033,-1.49644075462868,down
ENSSSCT00000002399,2.46966787025622,1.52091797717522,-0.699374685196171,down
ENSSSCT00000002516,2.14190105390448,0.94101223566629,-1.18660644860461,down
ENSSSCT00000002527,4.41734892090143,1.80578695626416,-1.29055309746567,down
ENSSSCT00000002539,5.23819342243083,0.839899910373275,-2.6407800133568,down
ENSSSCT00000002556,8.30908868308923,0.445815739492782,-4.22017079818139,down
ENSSSCT00000002569,2.8375595754814,1.34446791858947,-1.07761535223465,down
ENSSSCT00000002608,1.13831696527523,4.93046237948282,2.11482061591966,up
ENSSSCT00000002616,2.62732715836778,0.750081244784129,-1.8084770838286,down
ENSSSCT00000002618,2.58080929627213,0.506880502657763,-2.34810596399355,down
ENSSSCT00000002621,0.788919392546166,0.465431234259605,-0.761309870425432,down
ENSSSCT00000002630,0.254797364977833,1.05102164966198,2.04437012427041,up
ENSSSCT00000002636,2.88434413011526,0.953319434362151,-1.5972116897144,down
ENSSSCT00000002646,2.96731614641334,0.232856701201314,-3.67164433783102,down
ENSSSCT00000002665,0.780776038904874,0.546175233086465,-0.515544883970781,down
ENSSSCT00000002675,1.98712507206029,1.18464214498518,-0.74623136275212,down
ENSSSCT00000002713,3.66835867374656,1.57927337404208,-1.2158737803379,down
ENSSSCT00000002719,0.189356725848391,2.23705524319511,3.56242231262889,up
ENSSSCT00000002729,0.933745425114477,4.73087814313638,2.34100682617563,up
ENSSSCT00000002742,7.34775439110272,3.57267322261807,-1.04029944045477,down
ENSSSCT00000002743,0.0730757553797487,0.348514897716634,2.25375558498898,up
ENSSSCT00000002785,7.06736691607577,1.28985142804564,-2.45396791333823,down
ENSSSCT00000002787,1.55627755195836,0.344555512850272,-2.17529103283196,down
ENSSSCT00000002809,0.204740438951294,0.140849354752708,-0.53964312733073,down
ENSSSCT00000002825,2.57927977531752,0.838465834609101,-1.62114436733974,down
ENSSSCT00000002961,0.830927027727369,0.523390116527483,-0.666835103212675,down
ENSSSCT00000002997,1.03839060653657,0.591027616467651,-0.813051788906049,down
