"Sample","Sequence_Name","CDS_Length","Total_Reads","Mean_Coverage","Median_Coverage","Max_Coverage","Coverage_Percentage_Above_1"
"H_RNAseq","TNFSF13_ENSSSCG00000036521_ENSSSCT00000048271_594_1347_2112",2112,3,0.0321969696969697,0,2,2.36742424242424
"W_RNAseq","TNFSF13_ENSSSCG00000036521_ENSSSCT00000048271_594_1347_2112",2112,17,1.08285984848485,0,9,18.4185606060606
"H_Riboseq","TNFSF13_ENSSSCG00000036521_ENSSSCT00000048271_594_1347_2112",2112,4,0.0426136363636364,0,2,3.07765151515152
"W_Riboseq","TNFSF13_ENSSSCG00000036521_ENSSSCT00000048271_594_1347_2112",2112,5,0.0700757575757576,0,2,5.68181818181818
